name_english,name_japanese,show_type,episodes,status,aired,broadcast_time,producers,licensors,studios,source,genres,episode_length,rating,score_and_scorers,members,favorites,description
,シャーマンキング,Special,5,Finished Airing,"Jan 2, 2002 to Jul 24, 2003",,TV Tokyo Music,add some,"Nippon Animation, Xebec",Manga,"Action, Comedy, Supernatural, Shounen",35 min. per ep.,PG-13,"7.30, 6669",17033,34,"Throughout the broadcast of Shaman King, many shorts (usually referred to as Shaman King omake and TV specials) were made on special days of the year related to spirits and the like. The omake were short stories that were made for humorous effect. Apparently, all of the omake fit into the story before the Shaman Fight 2nd round. Documents of the Shaman Fight was shown with a New Year's omake as well. The TV Specials were aired after specific points of the story as well as on holidays. The specials were never dubbed in English, and, most likely, never will be. 

(Source: Wikipedia)"
Squid Girl Specials,侵略!イカ娘 ミニイカ娘の番外編,Special,2,Finished Airing,"May 3, 2011 to May 27, 2011",,add some,Sentai Filmworks,Diomedea,Unknown,Comedy,4 min. per ep.,G,"7.30, 10444",19807,15,"""Mini Ika-Musume"" side-story episodes."
,劇場版「シドニアの騎士」,Movie,1,Finished Airing,"Mar 6, 2015",,add some,Sentai Filmworks,Polygon Pictures,Manga,"Action, Mecha, Sci-Fi, Seinen, Space",2 hr. 14 min.,R,"7.30, 2364",9795,11,A recap of the first season of Sidonia no Kishi with additional scenes and re-edited sound effects. 
Slayers The Motion Picture,劇場版スレイヤーズ,Movie,1,Finished Airing,"Jul 29, 1995",,"Kadokawa Shoten, Marubeni",ADV Films,J.C.Staff,Light novel,"Adventure, Comedy, Magic, Fantasy, Shounen",1 hr. 6 min.,PG-13,"7.30, 11591",20753,32,"In this prequel movie to the Slayers televison series, Lina Inverse travels to Mipross Island with her rival/traveling companion Naga the Serpent. While they originally came for the hot springs, they soon find them selves mixed up in a conspiracy involving a mazoku named Joyrock. Years ago, he killed all of the elves that inhabited the island and absorbed their power. They are soon joined by an old mage named Rowdy Gabriev, who was in love with one of the elves slaughtered and also wants to defeat Joyrock. 

(Source: ANN)"
Fafner of the Blue Sky,蒼穹のファフナーDead Aggressor,TV,25,Finished Airing,"Jul 5, 2004 to Dec 27, 2004",Unknown,"TV Tokyo Music, King Records","Funimation, Geneon Entertainment USA",Xebec,Original,"Action, Drama, Mecha, Military, Sci-Fi",24 min. per ep.,PG-13,"7.30, 12106",39765,252,"Tatsumiyajima is the central island in the middle of a small cluster of islands, in a sleepy backwater of the Japanese isles. Not much happens there, and the island's young people go to school knowing that their lives are likely to remain peaceful and undisturbed. Or so they have been taught... but the truth is different. The fate of mankind is on the line, and Tatsumiyajima is the last line of defense against a hostile and incomprehensible enemy. At the center of it all, fighting for Humanity's continued existence, is the giant robot Fafner, the dragon that guards this final treasure of mankind.

(Source: ANN)"
Beyond the Heavens,蒼天航路,TV,26,Finished Airing,"Apr 8, 2009 to Sep 30, 2009",Unknown,VAP,add some,Madhouse,Manga,"Action, Adventure, Historical",23 min. per ep.,R+,"7.30, 3361",15361,40,"Souten Kouro's story is based loosely on the events taking place in Three Kingdoms period of China during the life of the last Chancellor of the Eastern Han Dynasty, Cao Cao (155 – March 15, 220), who also serves as the main character.

The Three Kingdoms period has been a popular theme in Japanese manga for decades, but Souten Kouro differs greatly from most of the others on several points. One significant difference is its highly positive portrayal of its main character, Cao Cao, who is traditionally the antagonist in not only Japanese manga, but also most novel versions of the Three Kingdoms period, including the original 14th century version, Romance of the Three Kingdoms by Luo Guanzhong. Another significant difference from others is that the storyline primarily uses the original historical account of the era, Records of Three Kingdoms by Chen Shou, as a reference rather than the aforementioned Romance of the Three Kingdoms novel. By this, the traditional hero of Romance of the Three Kingdoms, Liu Bei, takes on relatively less importance within the story and is portrayed in a less positive light. Yet, several aspects of the story are in fact based on the novel version, including the employment of its original characters such as Diao Chan, as well as anachronistic weapons such as Guan Yu's Green Dragon Crescent Blade and Zhang Fei's Viper Blade.

A consistent theme throughout the story is Cao Cao's perpetual desire to break China and its people away from its old systems and ways of thinking and initiate a focus on pragmatism over empty ideals. This often puts him at odds with the prevalent customs and notions of Confucianism and those that support them.

(Source: Wikipedia)"
,東京喰種 トーキョーグール【PINTO】,OVA,1,Finished Airing,"Dec 25, 2015",,add some,add some,Studio Pierrot,Light novel,"Action, Drama, Horror, Mystery, Psychological, Supernatural",24 min.,R,"7.30, 78507",140678,378,"Shuu Tsukiyama is a ""ghoul"": a creature who eats human flesh, and he likes to enjoy his meals to the fullest. One night, while relishing in the premeditated murder of his dinner, Shuu's much anticipated first bite is disturbed by a sudden flash of light.

The flash turns out to be from the camera of high schooler Chie Hori, who presents Shuu with the perfect picture capturing his true nature; the extremely clear shot of a bloody corpse and an overly excited Shuu threatens to expose his ghoul identity, thus Shuu needs to sort out this situation quickly.

After Shuu discovers that Chie attends the same high school as him and is even in the same class, the reason behind his feelings of obsession changes from self-preservation to morbid curiosity. As he grows closer to the absent-minded and extremely odd photographer, he challenges them both to learn more about each other's conflicting worlds; Shuu promises that Chie will come out of this experience with a photograph superior to the one she already has.

[Written by MAL Rewrite]
"
Trinity Seven Eternity Library & Alchemic Girl,劇場版 トリニティセブン －悠久図書館〈エターニティライブラリー〉と錬金術少女〈アルケミックガール〉－,Movie,1,Finished Airing,"Feb 25, 2017",,"Sotsu, Avex Pictures",add some,Seven Arcs Pictures,Manga,"Action, Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School, Shounen",55 min.,PG-13,"7.30, 57273",117003,238,"The film's story begins when Arata inadvertently touches ""Hermes Apocrypha,"" Lilith's Grimoire. Suddenly, he is enveloped by a bright white light, and a girl appears before him. She calls herself Lilim, and treats both Arata and Lilith as her parents. At the same time she appears, something changes in the world. The forbidden Eternal Library awakens. In the Library is sealed the ultimate culmination of Alchemy, the White Demon Lord. The White Demon Lord plots to eliminate Arata and the Trinity Seven to usurp the position of Demon Lord. Bristling with untold power, the White Demon Lord attacks Arata, and triggers a desperate crisis where Arata and the Trinity Seven must save the world in this last battle.

(Source: ANN)"
Umamusume Pretty Derby,ウマ娘 プリティーダービー,TV,13,Finished Airing,"Apr 2, 2018 to Jun 18, 2018",Mondays at 00 00 (JST),"Lantis, TOHO animation, Kansai Telecasting, Cygames",add some,P.A. Works,Game,"Comedy, Slice of Life, Sports",23 min. per ep.,PG-13,"7.30, 27492",76828,274,"In a world very much like our own, great race horses of the past have a chance to be reborn as ""horse girls""—girls with the ears and tails of horses as well as their speed and endurance. The best of these horse girls go to train at Tokyo's Tracen Academy, hopefully moving on to fame and fortune as both racers and idols.

Special Week, a high school horse girl from the countryside, has just transferred to Tracen, and she's determined to fulfill her promise to her mother to become the best horse girl in Japan. On her way to school, she takes a pit stop at the race track and instantly falls in love with Silence Suzuka's style, becoming determined to race on the same team as her.

(Source: ANN)"
,私に天使が舞い降りた！,Special,1,Finished Airing,"May 24, 2019",,add some,add some,Doga Kobo,4-koma manga,"Comedy, Shoujo Ai, Slice of Life",22 min.,None,"7.30, 9983",18918,479,"Hinata Hoshino, Hana Shirosaki, and Noa Himesaka are off to the countryside for a camping trip. At Hinata's behest, her elder sister, Miyako, reluctantly tags along. Seeing how gloomy Miyako is, the trio do their best to get her to enjoy herself too.

Besides the camping trip, Watashi ni Tenshi ga Maiorita! Special contains three more short stories of the girls. Although their lives seem normal, one thing is certain: there is definitely no shortage of cuteness here!

[Written by MAL Rewrite]"
