name_english,name_japanese,show_type,episodes,status,aired,broadcast_time,producers,licensors,studios,source,genres,episode_length,rating,score_and_scorers,members,favorites,description
,えがおのはな,Music,1,Finished Airing,"Jun 1, 2010",,NHK,add some,add some,Original,"Music, Kids",2 min.,G,"5.74, 520",875,1,"Song by Ueno Juri used as a featured song for the NHK daily music segment program Minna no Uta in June and July 2010.

(Source: AniDB)"
Dai-Shogun Great Revolution,風雲維新ダイ☆ショーグン,TV,12,Finished Airing,"Apr 10, 2014 to Jun 26, 2014",Unknown,add some,Sentai Filmworks,"J.C.Staff, A.C.G.T.",Original,"Action, Historical, Mecha",24 min. per ep.,R,"5.74, 7206",22630,19,"In the late Edo period, Japan had experienced an unprecedented crisis by Kurofune (Black Ships), the ships from foreign countries. But a giant robot called Onigami, which has existed since ancient time, dispelled the Kurofune ships and the exclusion of foreigners was accomplished. The story begins in Japan where Meiji restoration in 1868 didn't happen. The tagline says, ""I can be the greatest man in the world, because I am a virgin!!""

(Source: Crunchyroll)"
,ゴン,TV,50,Finished Airing,"Apr 2, 2012 to Mar 25, 2013",Mondays at 18 00 (JST),Kodansha,add some,Daewon Media,Manga,"Action, Adventure, Kids",23 min. per ep.,G,"5.74, 304",1413,6,"The Gon series features the completely wordless adventures of the irascible title character, a tiny fictional dinosaur, as he interacts with the natural world. Gon somehow survived the extinction of his fellow dinosaurs and interacts with paleolithic animals. 

(Source: Wikipedia)"
Hacka Doll,ハッカドール,Special,2,Finished Airing,"Aug 15, 2014 to Sep 18, 2014",,add some,add some,Trigger,Other,Fantasy,1 min. per ep.,PG-13,"5.74, 1657",7032,6,"In the year 2xxx, development of information are going so fast, humans being are drowning in the sea information. This leads to a situation where people can not find the necessary information. The only hope to solve this problem is the navigator program, Hacka Doll.

(Source: Anime Bibly)"
,ハローキティのかぐや姫,OVA,1,Finished Airing,"Sep 21, 1993",,Sanrio,add some,add some,Unknown,"Kids, Fantasy",28 min.,G,"5.74, 187",536,0,Kitty and friends recreate the story of The Tale of the Bamboo Cutter.
,ヒピラくん,Special,1,Finished Airing,"Jan 29, 2014",,add some,add some,Sunrise,Unknown,"Comedy, Fantasy, Kids, Supernatural, Vampire",5 min.,PG,"5.74, 193",517,0,Last episode of Hipira-kun bundled with the DVD/Blu-ray release.
Mean,いけず,Music,1,Finished Airing,"Aug 1, 2017",,add some,add some,add some,Original,"Music, Comedy",51 sec.,PG-13,"5.74, 272",454,0,"The official music video for Otoboke Beaver's song ""Ikezu."""
,カガクなヤツら,OVA,1,Finished Airing,"Feb 20, 2013",,add some,add some,Hoods Entertainment,Manga,"Sci-Fi, Comedy, Romance, Ecchi, School, Seinen",25 min.,R+,"5.74, 8786",19696,96,"Choosing which high school club to join can be a daunting task. After all, there are only so many hours in the day, not to mention the power struggle between cyborgs and part canine-females. At least, that's the conundrum that Haruki Komaba finds himself trapped in.

Airi Kuze is a mechanical science master with a crush on Haruki. Touko Hizuki is a half-dog, half-girl chemical science master who's also fond of Haruki. Unfortunately for Haruki, he accidentally promised to join both clubs and finds himself in the middle of a fierce battle for his membership and, if Airi has anything to say about it, his hand in marriage.

As if things weren't complicated enough, Ayana's perverted older sister Touko has decided to intervene on her younger sibling's behalf, bringing her own brand of sexually charged chemical science into the mix. Haruki's going to have a difficult time deciding on a club. If the girls don't end up tearing each other apart first, that is."
,CM 少年サンデー「からくりサーカス」編,Special,1,Finished Airing,1998,,add some,add some,add some,Manga,"Action, Mystery, Shounen",30 sec.,PG-13,"5.74, 166",516,0,Karakuri Circus television commercial for Shounen Sunday magazine.
,lilac (bombs 戸川純 ),Music,1,Finished Airing,"Sep 27, 2015",,Virgin Babylon Records,add some,Onionskin,Unknown,Music,4 min.,PG,"5.74, 370",647,1,"Music video for Vampillia's ""lilac (bombs Jun Togawa)."""
,マツモトキヨシ×おそ松さん,ONA,9,Finished Airing,"Jun 25, 2016 to Dec 18, 2017",,add some,add some,add some,Manga,Comedy,42 sec. per ep.,G,"5.74, 146",1413,1,A collaboration between Matsukiyo and Osomatsu-san.
One-Million Year Trip Bander Book,100万年地球の旅 バンダーブック,Special,1,Finished Airing,"Aug 27, 1978",,"Tezuka Productions, Nippon Television Network",add some,add some,Original,Sci-Fi,1 hr. 34 min.,R+,"5.73, 380",1073,5,"To escape the explosion of their ship caused by a terrorist attack, the parents of a young baby put him inside an escape pod and send him out before dying. The pod ends up on a planet inhabited by beings able to transform themselves into animals by using a special ring. The young baby is rescued by the royal family, and grows up to become the prince.

When the planet is attacked by pirates, he will be brought by force to Earth and discover everything about his own origins, and forgotten brother.

(Source: AniDB)"
