name_english,name_japanese,show_type,episodes,status,aired,broadcast_time,producers,licensors,studios,source,genres,episode_length,rating,score_and_scorers,members,favorites,description
,SHIDEN,Special,1,Finished Airing,"Mar 25, 2004",,add some,add some,add some,Unknown,"Action, Cars",23 min.,PG-13,N/A,217,0,"Described as a ""modern car racing anime for tween and teen audiences."" Though intended to be a television series, several problems led to the project's cancellation after the creation of a 30-minute pilot. The single episode was presented at the 2004 Tokyo Anime Fair.

(Source: ANN)"
Shigutsman,滋賀ッツマン,OVA,1,Finished Airing,"Nov 8, 2009",,add some,add some,add some,Original,"Kids, Super Power",2 hr. 3 min.,G,N/A,82,0,"A Shiga prefecture promotional anime. It stars a superhero named Shigutsman, a portmanteau of ""shiga"" prefecture, ""guts,"" and ""man"" who lives in Shiga prefecture with other superheroes. Because there is so much peace, the superheroes don't have much to do besides go to community center meetings."
,詩人とつばめ,Music,1,Finished Airing,"Oct 2, 1985",,NHK,add some,add some,Original,"Kids, Music",2 min.,G,N/A,96,0,A poet finds inspiration from a barn swallow.
Kanta and the Deer,シカとカンタ,OVA,1,Finished Airing,"Apr 1, 1992",,Shinano Kikaku,add some,add some,Unknown,"Adventure, Kids",30 min.,G,N/A,169,0,"One day, Kanta, a lonely boy, rescues an orphaned baby deer and names it Poyu. There is something special about Poyu, his golden tail. When hunters go after Poyu, Kanta is determined to protect his golden-tailed friend and the other deer."
,しかと,TV,135,Finished Airing,"Oct, 1992 to 1993",Unknown,Fuji TV,add some,add some,Original,"Comedy, Kids",30 sec. per ep.,G,N/A,103,2,"Shikato can only walk in a straight line, which means that whether colliding into objects or falling off of things, something funny is always happening.

(Source: UrumaDelvi Site)"
Shima Kosaku's Asian Entrepreneurs,島耕作のアジア立志伝,TV,26,Finished Airing,"May 10, 2013 to Feb 13, 2015",Unknown,NHK,add some,add some,Manga,"Drama, Seinen",36 min. per ep.,PG-13,N/A,440,0,"How did Asia's most prominent entrepreneurs know when to grasp opportunities? And how did they overcome difficulties and attain their positions of power? This series uses the unconventional technique of blending actual documentary footage with CG animation to get a close-up look into the front lines and what lies behind the scenes of Asian business.

Our cartoon host is Shima Kosaku, a character from a popular Japanese business manga. He delves into the heart of the Asian economic market representing 4 billion people, to visit entrepreneurs who have survived turbulent times. Thai business magnate, Dhanin Chearavanont (Chairman of CP Group), and innovative Taiwanese semiconductor entrepreneur, Morris Chang (Chairman of TSMC), are among the many movers and shakers to be featured. Don't miss this opportunity to glimpse the dramatic lives of these media-shy business titans.

(Source: Official Site)"
,島耕作のアジア立志伝,Special,4,Finished Airing,"May 1, 2013 to May 5, 2014",,NHK,add some,add some,Manga,"Drama, Seinen",40 min. per ep.,PG-13,N/A,123,0,Specials of Shima Kousaku no Asia Risshi-den not considered a part of the normal episode count. The first two are a part of phase 1 and sandwich the arc. The 3rd episode is a New Years special in the middle of phase 2. And the 4th one is a recap of the ASEAN market after Phase 2 finished.
,島耕作のアジア新世紀伝,TV,30,Finished Airing,"Jan 1, 2016 to ?",Unknown,NHK,add some,add some,Manga,"Cars, Drama, Seinen",20 min. per ep.,PG-13,N/A,733,1,A spinoff of Shima Kousaku no Asia Risshi-den
,島の暮れ方の話,OVA,1,Finished Airing,2010,,add some,add some,Toei Video,Original,"Fantasy, Kids",10 min.,G,N/A,87,0,A stop-motion puppet animation fairy tale style story where on a warm island in the south a man encounters a woman.
,しましまとらのしまじろうの交通安全,OVA,1,Finished Airing,"Sep 2, 1994",,add some,add some,add some,Original,Kids,10 min.,G,N/A,61,0,A traffic safety video starring the cast of Shima Shima Tora no Shimajirou.
,しましまとらのしまじろうの消防隊,OVA,1,Finished Airing,"Sep 2, 1994",,add some,add some,add some,Original,Kids,10 min.,G,N/A,62,0,A fire safety video starring the cast of Shima Shima Tora no Shimajirou.
,しまじろう ヘソカ,TV,101,Finished Airing,"Apr 5, 2010 to Mar 26, 2012",Unknown,add some,add some,The Answer Studio,Original,"Adventure, Comedy, Fantasy, Kids, Magic",25 min. per ep.,G,N/A,227,0,Third season of the Shimajirou children's television series.
,映画しまじろう まほうのしまの だいぼうけん,Movie,1,Finished Airing,"Mar 9, 2018",,add some,add some,The Answer Studio,Original,Kids,Unknown,G,N/A,153,0,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
,しまじろうのわお!,TV,Unknown,Currently Airing,"Apr 2, 2012 to ?",Mondays at 07 30 (JST),add some,add some,The Answer Studio,Other,"Adventure, Comedy, Fantasy, Kids, Magic",25 min.,G,N/A,282,0,Fourth season of the Shimajirou children's television series.
,しまじろうと えほんのくに,Movie,1,Finished Airing,"Mar 11, 2016",,Benesse Corporation,add some,TOHO animation,Unknown,"Action, Comedy, Fantasy, Kids",Unknown,G,N/A,172,0,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
,劇場版 しまじろうと フフの だいぼうけん ~すくえ! 七色の花~,Movie,1,Finished Airing,"Mar 15, 2013",,Benesse Corporation,add some,add some,Unknown,"Adventure, Comedy, Fantasy, Kids, Magic",1 hr. 7 min.,G,N/A,206,1,Movie for the Shimajirou children's series.
,しまじろうと くじらのうた,Movie,1,Finished Airing,"Mar 14, 2014",,Benesse Corporation,add some,add some,Unknown,"Adventure, Comedy, Fantasy, Kids",53 min.,G,N/A,211,0,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
,しまじろうと にじのオアシス,Movie,1,Finished Airing,"Mar 10, 2017",,add some,add some,The Answer Studio,Original,Kids,1 hr.,G,N/A,178,0,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
,しまじろうと おおきなき,Movie,1,Finished Airing,"Mar 13, 2015",,Benesse Corporation,add some,The Answer Studio,Unknown,"Kids, Adventure",1 hr. 1 min.,PG,N/A,187,0,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
,しまじろうと そらとぶふね,Movie,1,Finished Airing,2020,,add some,add some,add some,Original,Kids,Unknown,G,N/A,82,0,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
,しまじろうとおたんじょうびのおほしさま,Movie,1,Finished Airing,2013,,Benesse Corporation,add some,"pH Studio, D & D Pictures",Original,"Adventure, Kids, Space",25 min.,G,N/A,108,0,A planetarium film exploring the different birthday signs alongside Shimajirou and friends.
,しまじろうとうるるのヒーローランド,Movie,1,Finished Airing,"Mar 15, 2019",,Benesse Corporation,add some,The Answer Studio,Original,Kids,Unknown,G,N/A,116,0,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
,しまうまとライオン,Music,1,Finished Airing,"Oct 1, 2013",,NHK,add some,add some,Original,"Kids, Music",4 min.,G,N/A,85,0,Music video for the song Shimauma to Lion by Machiko Watanabe and Takeo Tsutsui that was featured on NHK's Minna no Uta program. The video was animated by Kouji Nanke.
,新ビックリマン,TV,72,Finished Airing,"Apr 9, 1989 to Aug 26, 1990",Sundays at 08 30 (JST),add some,add some,Toei Animation,Other,"Comedy, Fantasy",25 min. per ep.,PG,N/A,291,0,"No synopsis has been added for this series yet.

Click here to update this information."
,新ビオフェルミンS,Special,1,Finished Airing,"Dec 22, 2016",,add some,add some,add some,Other,Slice of Life,15 sec.,G,N/A,136,0,"TV commercials for Shin Biofermin S, a lactic acid bacteria probiotic supplement manufactured by Biofermin Pharmaceutical. The first commercial explains how the supplement improves intestinal flora and the mechanisms behind it."
,新・超幕末少年世紀タカマル,OVA,6,Finished Airing,"Nov 21, 1992 to Jun 20, 1993",,add some,add some,J.C.Staff,Unknown,"Action, Comedy, Fantasy",30 min. per ep.,PG-13,N/A,196,0,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
,新・ど根性ガエル,TV,30,Finished Airing,"Sep 7, 1981 to Mar 29, 1982",Unknown,Tokyo Movie Shinsha,add some,add some,Manga,"Slice of Life, Comedy, Shounen",25 min. per ep.,G,N/A,296,0,Continuation of Dokonjougaeru series.
,新ど根性ガエル ど根性・夢枕,Movie,1,Finished Airing,"Mar 20, 1982",,Tokyo Movie Shinsha,add some,add some,Manga,"Slice of Life, Comedy, Shounen",37 min.,G,N/A,264,0,"After Hiroshi daydreams about marrying Kyoko, his chauvinistic behavior puts a strain on his relationship with his closest of friends."
,真 学校の幽霊,OVA,1,Finished Airing,"Jun 11, 1999",,add some,add some,add some,Original,"Horror, Demons, Supernatural, Thriller, School",40 min.,PG-13,N/A,284,0,"Following the popularity of the original omnibus OVA, this release offers 4 more stories but in animation only. "
,新カチカチ山,Movie,1,Finished Airing,1926,,add some,add some,add some,Other,Fantasy,Unknown,G,N/A,127,0,A short film directed by Takeo Ueno (上野武夫).
,新・カラテ地獄変,OVA,2,Finished Airing,"Nov 1, 1990 to Dec 21, 1990",,add some,add some,add some,Unknown,"Action, Martial Arts",48 min. per ep.,R+,N/A,362,0,"A returning veteran and karateka from WW2 starts working for the yakuza, looking for a man strong enough to kill him. After becoming karate champion, he joins an Italian woman who is looking for revenge against the nazis who killed her family."
,新巨人の星,TV,52,Finished Airing,"Oct 1, 1977 to Sep 30, 1978",Unknown,"Tokyo Movie Shinsha, Yomiuri Telecasting",add some,add some,Unknown,Sports,25 min. per ep.,G,N/A,458,1,"A continuation of the popular baseball saga about the star pitcher of a professional baseball team.

(Source: AniDB)"
,新巨人の星II,TV,23,Finished Airing,"Apr 14, 1979 to Sep 29, 1979",Unknown,"Tokyo Movie Shinsha, Yomiuri Telecasting",add some,add some,Unknown,Sports,25 min. per ep.,G,N/A,384,0,"A continuation of the popular baseball saga about the star pitcher of a professional baseball team.

(Source: AniDB)"
,新まんがなるほど物語,TV,40,Finished Airing,"Apr 2, 1988 to Jan 28, 1989",Unknown,add some,add some,add some,Unknown,Kids,20 min. per ep.,None,N/A,104,0,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
,新忍者玉丸,TV,26,Finished Airing,"Dec 27, 2008 to Dec 19, 2009",Unknown,add some,add some,add some,Original,"Kids, Martial Arts",5 min. per ep.,G,N/A,100,0,The second season of Ninja Tamamaru.
,新オバケのＱ太郎,TV,70,Finished Airing,"Sep 1, 1971 to Dec 27, 1972",Wednesdays at 19 30 (JST),add some,add some,add some,Unknown,"Slice of Life, Comedy, Supernatural, School",25 min. per ep.,G,N/A,320,0,"New misadventures of the dimwitted ghost Q-Tarou. 

(Source: AniDB)"
,新・男樹,OVA,2,Finished Airing,"May 16, 1998 to Sep 4, 1998",,add some,add some,add some,Unknown,Seinen,40 min. per ep.,R+,N/A,196,0,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
,新プロゴルファー猿,TV,10,Finished Airing,"Apr 11, 1988 to Jun 13, 1988",Unknown,TV Asahi,add some,Shin-Ei Animation,Unknown,"Kids, Sports",15 min. per ep.,PG,N/A,190,0,The second season of the 1985 anime Pro Golfer Saru.
Encounters with that Kind,新世紀末 奴との遭遇,ONA,5,Finished Airing,"May 13, 2013 to Jun 10, 2013",,CoMix Wave Films,add some,add some,Unknown,"Comedy, Sci-Fi",5 min. per ep.,PG,N/A,202,0,"In the corner of the universe, there was a small planet where creatures called men flourished. Doomsday finally looms near to this planet where destruction and creation have occurred repeatedly. The great king of terror appears from the sky and the mankind faces the end.

""Encounters with that kind"" is Director Yutaro Sawada's original stop motion animation.

(Source: Anime Bancho)"
,新・湘南爆走族 荒くれKNIGHT,OVA,2,Finished Airing,"Sep 12, 1997 to Sep 11, 1998",,add some,add some,add some,Manga,Adventure,43 min. per ep.,R,N/A,349,0,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
,新スカイヤーズ5,TV,25,Finished Airing,"Oct 14, 1971 to Mar 3, 1972",Unknown,Tele-Cartoon Japan,add some,add some,Unknown,"Action, Sci-Fi",25 min. per ep.,G,N/A,266,1,"A science fiction action series about the future battles between a planetary police force and an international crime syndicate. The series is sometimes denoted with 26 episodes, in such a case episode 1 is a colored version of the original monochrome episode 1 of Skyers 5. No changes to dialogue and story were made. As such this episode will be accounted for in its original entry.

(Source: AniDB, edited)
"
,新スカイヤーズ5 EX,Special,12,Finished Airing,"May 29, 2015",,add some,add some,add some,Unknown,"Action, Sci-Fi",24 min. per ep.,G,N/A,82,0,"Unreleased episodes of Shin Skyers 5 released to the public nearly five decades later on the HD Remaster DVD-BD Box Set 2. These specials are sometimes noted with 13 episodes, as the first episode of this batch is a colored version of episode 12 from Skyers 5's TV series. No changes were made to the dialogue, story, or animation except for it receiving a color-swap. As such it will not be included in the episode count as Skyers 5's main entry adequately accounts for this episode."
,新宝島,Special,1,Finished Airing,"Jan 3, 1965",,Fuji TV,add some,Mushi Production,Novel,"Adventure, Kids",55 min.,G,N/A,296,0,"This was the first episode of Mushi Pro Land, a unique series of 60-minute animated programs. It was also Japan's first 60-minute animated TV program. However, the series never materialized and only this episode was actually aired. The story follows Stevenson's ""Treasure Island,"" featuring characters in the form of animals. For example, the pirate Silver is illustrated as a wolf, where the main character Jim is changed into a rabbit. This has, therefore, nothing to do with the ""New Treasure Island,"" Tezuka's masterpiece Manga.

(Source: AniDB)"
,新ちゃんがないた！,OVA,1,Finished Airing,1989,,add some,add some,add some,Unknown,"Drama, Kids",36 min.,G,N/A,145,0,An educational film about living with disabilities in Japan.
Shin's Tricycle,しんちゃんのさんりんしゃ,OVA,1,Finished Airing,Not available,,add some,add some,add some,Unknown,"Historical, Kids",24 min.,G,N/A,173,0,The story about a real life 3 year old boy named Shin-chan burned by the atomic bomb when riding his tricycle. He died later that night and his burnt tricycle is displayed at war museum. 
,新型Jii (5代目) LT-AM-3501,Special,5,Finished Airing,"Dec 26, 2019",,add some,add some,add some,Original,Comedy,21 sec. per ep.,G,N/A,55,0,Commercials by Takashi Taniguchi for the 5th generation of Lightec Inc.'s Jii LT-AM-3501 USB-rechargeable lighters. These include four web-exclusive commercials set in an office and one TV commercial set in a park.
Shining Star,샤이닝스타,TV,52,Finished Airing,"Oct 16, 2017 to Dec 3, 2018",Unknown,add some,add some,Maro Studio,Original,"Kids, Music",21 min. per ep.,PG,N/A,274,7,"At the prestigious Shining Star School, every girl dreams of becoming the best idol, called ""Muse"". Nara, an ordinary girl, decides to attend the school in order to fulfill her dream.

(Source: Shining Star Wiki)"
Shining Star The Birth of New Luna-Queen,샤이닝스타 새로운 루나퀸의 탄생!,Movie,1,Finished Airing,"Jul 18, 2019",,add some,add some,Maro Studio,Original,"Fantasy, Music, School, Shoujo",1 hr. 18 min.,PG,N/A,84,0,"The world's best idol school, Shining Star School!
The debut class' trained trainee 'Hera' and the hard-trained trainee 'Nara' will audition to become the world's best idol star: 'Luna Queen'.
Meanwhile, Hera suddenly withdraws from her group 'Dolls' and joins Nara forming a new team called 'New Melody'.
However, talented headmistress Calliope is trying to separate New Melody and Hera by saying that she can win a solo championship when she goes to the final stage of Solo Luna Queen.
The friendship of 'New Melody' is starting to shake...
Can they protect both the title of Luna Queen and their friendship?

(Source: Shining Star Wiki)"
,新宿シンちゃんパトロール わるい大人に気をつけて,ONA,1,Finished Airing,"Aug, 2008",,add some,add some,add some,Unknown,Kids,20 min.,PG,N/A,274,0,"Free video hosted by Tokyo neighbourhood to protect kids from ""bad adults"".

(Source: ANN)"
,新宿シンちゃん　よいこの交通安全,ONA,1,Finished Airing,"Aug 25, 2009",,add some,add some,add some,Unknown,Kids,15 min.,G,N/A,217,0,Shinjuku Shin-chan teaches kids about traffic safety.
