name_english,name_japanese,show_type,episodes,status,aired,broadcast_time,producers,licensors,studios,source,genres,episode_length,rating,score_and_scorers,members,favorites,description
,深海伝説MEREMANOID,TV,24,Finished Airing,"Oct 9, 1997 to Apr 2, 1998",Thursdays at 01 10 (JST),"TV Asahi, Kitty Films",add some,Triangle Staff,Unknown,"Adventure, Fantasy",25 min. per ep.,PG-13,N/A,525,1,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
,しんかいぎょのまち,Music,1,Finished Airing,"Dec 1, 2018",,NHK,add some,add some,Original,"Music, Kids",2 min.,G,N/A,108,0,Music video directed by Kousuke Sugimoto for the song Shinkaigyo no March by Youka Wao that was featured on NHK's Minna no Uta program.
Shinkalion,新幹線変形ロボ シンカリオン,ONA,11,Finished Airing,"Mar 16, 2015 to May 31, 2017",,add some,add some,add some,Other,"Kids, Mecha",1 min. per ep.,G,N/A,443,0,ShoPro's new transforming train toy line comes with animated promotional videos on the official YouTube page. Featuring shinkansen which transform into Shinkalions who fight a mysterious shakouki-doguu monster. 
Bullet Train Transforming Robot Shinkalion The Animation Recap,【新幹線変形ロボ シンカリオン】総集編『団らん!!速杉家とシンカリオン』,ONA,1,Finished Airing,"Aug 2, 2018",,TBS,add some,OLM,Other,"Action, Sci-Fi, Kids, Mecha",17 min.,PG,N/A,216,0,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
,新幹線変形ロボ シンカリオン 未来からきた神速のALFA-X,Movie,1,Finished Airing,"Dec 27, 2019",,add some,add some,OLM,Other,"Action, Sci-Fi, Kids, Mecha",1 hr. 18 min.,PG,N/A,719,0,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
,真拳伝説 タイトロード,TV,13,Finished Airing,"Oct 7, 1994 to Dec 28, 1994",Unknown,add some,add some,Toei Animation,Unknown,"Action, Martial Arts",25 min. per ep.,PG-13,N/A,376,0,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
,進研ゼミ高校講座,OVA,1,Finished Airing,"Apr 4, 2012",,Half H.P Studio,add some,Manglobe,Unknown,"School, Shounen",32 min.,PG-13,N/A,319,0,"Shinken Seminar Koukou Kouza is Benesse's correspondence course that helps middle school students get into their high schools of choice. The story follows a middle school boy named Shouta as he strives to get in the right high school, despite the appearance of a rival.

(Source: ANN)"
,新米,Special,4,Finished Airing,"Apr 15, 2008",,add some,add some,add some,Original,"Slice of Life, Comedy",2 min. per ep.,G,N/A,119,0,Everyone is brand new (shinmai) at the beginning of their job. The story follows new rice (shinmai) grains in their jobs.
Shinmai 'FUREAI' Net. Concept Movie,信毎ふれあいネット Concept Movie,ONA,1,Finished Airing,"Dec 25, 2015",,add some,add some,add some,Original,Slice of Life,1 min.,G,N/A,175,1,"A Shinmai 'FUREAI' Net. commissioned corporate message video. The company has several departments that assist people such as being a mediator for insurance sales, creating advertisement strategies in newspaper ads, organizing book sales, etc."
,森羅万象.mp3,Special,1,Finished Airing,"Feb 22, 2018",,Pie in the sky,add some,add some,Original,"Dementia, Music",30 sec.,G,N/A,173,0,"Space Shower TV Station ID directed by Wataru Uekusa, with music by sasakure.UK."
