name_english,name_japanese,show_type,episodes,status,aired,broadcast_time,producers,licensors,studios,source,genres,episode_length,rating,score_and_scorers,members,favorites,description
Armor Shop for Ladies & Gentlemen,おとなの防具屋さん,ONA,12,Finished Airing,"Oct 9, 2018 to Dec 25, 2018",,"Typhoon Graphics, S-TAR7, COMICSMART",add some,IMAGICA Lab.,4-koma manga,"Comedy, Ecchi, Fantasy",4 min. per ep.,PG-13,"5.65, 6388",21064,23,"Kautz was looking for a job and suddenly he gets hired by an armor shop. But it's not your run of the mill armor shop, it's an adult armor shop. An ecchi comedy showing the shopkeeper side of selling sexy battle armor. "
SD Gundam World Sangoku Soketsuden,SDガンダムワールド 三国創傑伝,ONA,Unknown,Currently Airing,"Jul 26, 2019 to ?",,add some,add some,Sunrise,Original,"Action, Historical, Mecha",15 min.,PG,"5.65, 174",1573,3,"As if led by fate, after meeting Guan Yu Nu Gundam and Zhang Fei God Gundam, Liu Bei Unicorn Gundam resolves to save the world.

Repeated warfare has destroyed countries that once prospered gloriously, leaving the land in ruins. Just when revival is in sight, an epidemics of the mysterious Yellow Zombie Virus breaks out. The virus carriers lose themselves and start attacking people. The survivors are forced to live inside fortified cities for protection relying on a form of energy known as ""Trinity."" However, this finite energy has caused social stratification and much conflict. Each fortified city is isolated by walls, and each country is ruled by a lord. The lord Dong Zhuo has been acting in an outrageous manner since the passing of the previous lord. As if drawn together by destiny, Liu Bei Unicorn Gundam meets Guan Yu Nu Gundam and Zhang Fei God Gundam, and decides to save the world.

Eventually, the passion of the three young men will bring about great change in the world. The new heroes unveil a new chapter in history!

(Source: Official Site)"
Ultimate Girls,UG☆アルティメットガール,TV,12,Finished Airing,"Jan 10, 2005 to Mar 28, 2005",Unknown,m.o.e.,Media Blasters,Studio Matrix,Original,"Comedy, Ecchi, Magic, Sci-Fi",14 min. per ep.,R+,"5.65, 2892",8009,4,"During a monster attack on the city, which is something that happens quite often, Silk and her two friends try get close to the attacking monster for a better view. An unfortunate choice of location to watch from leads to UFO-man, the city's giant protector, to land on the girls crushing them to death. Feeling sorry, UFO-man blames their death on the monster and promises to bring Silk and her friends back to life by lending them his power but the catch is that they now have to become the city's protector as well.

(Source: ANN)"
,ウルトラマンUSA,Movie,1,Finished Airing,"Apr 15, 1989",,Tsuburaya Productions,add some,add some,Other,"Action, Adventure, Sci-Fi",1 hr. 20 min.,PG-13,"5.65, 225",796,0,"The lives of three stunt pilots (Scott, Chuck, and Beth) are changed when they gain the ability to transform into three new Ultra-beings, and form the Ultra Force, to battle four giant Sorkin Monsters. 

(Source: AniDB) "
,ravex in Tezuka World,OVA,1,Finished Airing,"Apr 29, 2009",,Avex Entertainment,add some,add some,Unknown,"Space, Music",18 min.,G,"5.64, 433",1066,1,"As ""another story"" set after the end of the original manga, this what-if ""Return"" plot depicts what happens to the title character after his final act to save Earth. After drifting in space, the robot boy is rescued by the three members of ravex, and he is miraculously revived — not by Tezuka's Black Jack surgeon character, but by ""Space Jack."" The newly evolved robot boy will be named ""Ratom."" The Princess Knight and other Tezuka characters will appear in this all-new story. Musical artists BoA, Maki Goto, Anna Tsuchiya, Tohoshinki, and TRF are contributing to the album, and an event is planned at Tokyo's National Museum of Emerging Science and Innovation on April 10. The album marks Avex's 20th anniversary and what would have been Tezuka's 80th birthday. 

(Source: ANN)"
The Donkey,驢馬,Movie,1,Finished Airing,1930,,add some,add some,add some,Book,Adventure,14 min.,G,"5.64, 134",274,0,"A man and his young son travel through the countryside to take their donkey to a horse auction. Unfortunately every person they pass has a different opinion on how this should be accomplished, leading to disastrous results when the dim-witted father abandons common sense in an attempt to please everyone."
,サクラ大戦 奏組,Music,1,Finished Airing,"Sep 20, 2012",,add some,add some,A-1 Pictures,Manga,"Music, Shoujo",2 min.,PG-13,"5.64, 595",2447,3,"Sakura Taisen: Kanadegumi follows a girl named Miyabi Neko and her interactions with five attractive young men. The story takes place in Tokyo and centers on an imperial opera company named Kanadegumi. 

Bundled with a limited first edition of Shimada Chie's Sakura Taisen: Kanadegumi manga. 

(Source: ANN) "
,School Days ～マジカルハート☆こころちゃん～,OVA,1,Finished Airing,"Mar 26, 2008",,"Avex Entertainment, Marvelous, Lantis, Pony Canyon",Discotek Media,TNK,Visual novel,"Comedy, Parody, Magic, Ecchi",25 min.,R+,"5.64, 21368",37865,23,"Originally an April's Fool in 2007, this one episode OVA is a spin-off of the School Days game by 0verflow, and shows Kokoro Katsura, the little sister of one of the main characters, from her other side. A mahou shoujo out to save the world, or something like that.

(Source: AniDB)"
,ＳＦ西遊記 スタージンガー,Movie,1,Finished Airing,"Mar 17, 1979",,add some,add some,Toei Animation,Unknown,"Adventure, Mecha, Sci-Fi, Shounen",22 min.,G,"5.64, 156",494,0,"Princess Aurora, the only survivor of her planet destroyed by evil mutants, is resolved to put an end to the mutant menace in the galaxy along with three enhanced human cyborgs Jesse Dart, Porkos and Aramus, she travels space in the Cosmos Queen to the Dekkos System to fight the final battle.

(Source: ANN)"
,食パンミミー,TV,12,Finished Airing,"Oct 4, 2010 to Dec 20, 2010",Mondays at 19 00 (JST),Dentsu,add some,Kachidoki Studio,4-koma manga,Comedy,30 sec. per ep.,PG,"5.64, 645",1364,2,"The story is about the daily life of a piece of bread named Mimi, and some of her friends and family. Based on Shimamori Natsuko's Shokupan Mimi (White Bread Mimi) 4-panel manga."
