name_english,name_japanese,show_type,episodes,status,aired,broadcast_time,producers,licensors,studios,source,genres,episode_length,rating,score_and_scorers,members,favorites,description
,ナコルル ~あのひとからのおくりもの~,OVA,1,Finished Airing,"May 25, 2002",,Atelier Musa,add some,Arms,Game,"Fantasy, Supernatural, Historical, Drama",30 min.,R+,"5.55, 561",1519,2,"Nakoruru, finally returned to her home Kamuikotan after a long, fierce battle, receives a warm welcome from dear friends and the village children. Her spirit is uplifted by her reunion with companions Manari and Yantamuu. But as the trauma of battle falls away, Rela appears and challenges Nakoruru and the shadow of misfortune creeps closer... Nakoruru is a popular Ainu girl from SNK's Samurai Spirits fighting game (PC and Dreamcast), now she has her very own OVA series.

(Source: AniDB)"
,臆病なヴィーナス,OVA,1,Finished Airing,"Mar 21, 1986",,add some,add some,Toei Animation,Unknown,Music,20 min.,G,"5.55, 186",574,0,Story about a singer/dancer. There is music and singing throughout almost the entire OVA. 
,Peeping Life（ピーピング・ライフ） -The Perfect Evolution-,OVA,10,Finished Airing,"Jan 27, 2011",,CoMix Wave Films,add some,add some,Original,"Slice of Life, Comedy",5 min. per ep.,G,"5.55, 181",555,0,"Another iteration in the Peeping Life franchise, The Perfect Evolution features 10 new animated versions of improvised comedy sketches."
Pink Water Thieves Rain Thieves,ピンク みずドロボウあめドロボウ,Movie,1,Finished Airing,"Jul 7, 1990",,add some,add some,Toei Animation,Manga,"Action, Comedy, Fantasy, Shounen",30 min.,PG-13,"5.55, 380",1111,0,The plot is about a young girl named Pink who is a bandit in the desert who steals water from the Silver Company.
,輪郭,Music,1,Finished Airing,"Oct 16, 2012",,add some,add some,add some,Unknown,"Dementia, Horror, Music",6 min.,PG-13,"5.55, 690",1243,2,"Following the release of their 8th album ""DUM SPIRO SPERO,"" Japanese rock band Dir en Grey went into hiatus following a vigorous touring schedule in Japan and abroad, a year and a half later returning with their single ""RINKAKU"" released on December 19th, 2012.  Once again animator Keita Kurosaka was enlisted to create a hand drawn music video, that in many regards is much less shocking and grotesque than the band's previous collaboration with Kurosaka, the infamous ""Agitated Screams of Maggots"" music video. "
Do as the Fish Tells You,魚のいうことを聞く,Movie,1,Finished Airing,2013,,Geidai Animation,add some,add some,Original,"Dementia, Drama",5 min.,PG-13,"5.55, 144",289,0,A work completed by Onohana during her enrollment at the Tokyo University of the Arts. A young boy is compelled to release his pet fish into the sea.
,CM 小学館 少年サンデー「名探偵コナン」編,Special,1,Finished Airing,1995,,add some,add some,add some,Unknown,"Mystery, Shounen",28 sec.,G,"5.55, 189",500,5,Detective Conan television commercial for Shounen Sunday magazine.
,うぇいくあっぷがーるZOO！ 台湾でGO！,Special,1,Finished Airing,"Feb 4, 2017",,add some,add some,Karasfilms,Original,Comedy,1 min.,G,"5.55, 187",643,0,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
,惑星ロボ ダンガードA[エース]対昆虫ロボット軍団,Movie,1,Finished Airing,"Jul 17, 1977",,add some,add some,Toei Animation,Unknown,"Mecha, Sci-Fi",25 min.,PG-13,"5.55, 150",516,1,"A new insect enemy that feeds off of the energy of all living things has set its eyes on Earth.

(Source: BakaBT)"
,眠らぬ街のシンデレラ 廣瀬遼一「Memorial Date」,ONA,1,Finished Airing,"Sep 26, 2012",,add some,add some,add some,Unknown,Romance,2 min.,PG-13,"5.54, 121",631,2,Short animation created for the most voted character in Voltage's 2012 Character Ranking Commemorative Animation.
Next War Chronicle Ehrgeiz,ネクスト戦記エーアガイツ,TV,12,Finished Airing,"Oct 2, 1997 to Dec 25, 1997",Thursdays at 01 15 (JST),"Bandai Visual, BeSTACK, d-rights",Bandai Entertainment,Studio Deen,Original,"Action, Sci-Fi, Space, Mecha",25 min. per ep.,PG-13,"5.54, 208",1021,0,"Earth started space colonization by creating the Next Colonies. Next later rebelled, and created the Next Government. The rebellion became a war, and the multi-purpose Metal Vehicles, MVs for short, were changed for battle purposes. Meanwhile, Terra, an Earth Rebellion force, started creating more trouble for Earth. Now, a mysterious MV-like being, S.A.C (""S"" for short), is loose, and Next wants it so that they can win the war. Terra's psychic leader, Hal, has been sensing ""S"", and wants to know more about the power it has. The future of these three groups will be up to a bunch of outlaws who live on the abandoned Next 7 colony, though no one knows that yet..."
