name_english,name_japanese,show_type,episodes,status,aired,broadcast_time,producers,licensors,studios,source,genres,episode_length,rating,score_and_scorers,members,favorites,description
,バスカッシュ！,TV,26,Finished Airing,"Apr 3, 2009 to Oct 2, 2009",Fridays at 01 25 (JST),Mainichi Broadcasting System,Maiden Japan,Satelight,Original,"Sports, Mecha, Shounen",24 min. per ep.,PG-13,"7.25, 15206",40123,179,"On the planet Earthdash, its inhabitants gaze on its moon and the technologically advanced lunar city of Mooneyes with awe. Dan JD, a boy living in Rollingtown on Earthdash's surface, gets caught up in Bigfoot Basketball—a fast-paced sport played with giant Bigfoot robots.

(Source: AniDB)"
Clannad The Motion Picture,劇場版 クラナド,Movie,1,Finished Airing,"Sep 15, 2007",,add some,Sentai Filmworks,Toei Animation,Visual novel,"Drama, Romance, Fantasy, School",1 hr. 33 min.,PG-13,"7.25, 74892",139564,453,"Tomoya Okazaki is a cynical delinquent who lacks ambition as he apathetically labors through high school. During his childhood, a tragedy had caused his father to seek solace in alcoholism and neglect his son. Yet, meaningful human interaction can be a benediction, as Tomoya learns when he meets the enigmatic Nagisa Furukawa. The odd girl offers a gesture of friendship to Tomoya, but he rejects the request, dismissing it as a trivial incident. However, as he soon realizes that he is encountering Nagisa more and more often during school, Tomoya drops his discompassions and befriends the girl.

When he learns that Nagisa's dream is to revive the Drama Club, Tomoya decides to shed his detachment from the ordinary pleasures of life and dedicate himself to helping his new friend achieve her ambition. But what starts as a simple friendship may progress into something far more deep, intimate, and life-changing. As the pair face various hardships and afflictions, Tomoya and Nagisa gradually come to terms with the challenges of life.

[Written by MAL Rewrite]"
Cybersix,サイバーシックス,TV,13,Finished Airing,"Sep 6, 1999 to Nov 29, 1999",Mondays at 20 30 (JST),Tokyo Movie Shinsha,Discotek Media,Telecom Animation Film,Other,"Action, Adventure, Romance, Sci-Fi",23 min. per ep.,PG-13,"7.25, 2451",6811,51,"Anime based upon the original Argentine graphic novel series of the same name.

The story follows the titular character who is a genetically engineered super-soldier; one of the creations of Dr. Von Reichter's diabolic experiments. (The fictional) Von Reichter is actually a former Nazi who conducted horrendous experiments during the second world war. He flees to South America where he continues his experiments which culminate in the creation of the ""Cybers,"" one of which happens to be Cybersix. However, since the Cybers exhibit free will at an young age (an undesired trait), Von Reichter destroys all the Cybers to prevent a rebellion.

In the present day, Cybersix is one of the Cybers who managed to escape and is living a quiet life under the alias of ""Adrian Seidelman""; however, she finds out that her survival is dependent on a special substance that Von Reichter created and thus she is forced to hunt down the ""Technos,"" a newer generation of super-soldiers created by him, in order to survive. Unintentionally, in the process, Cybersix becomes a superhero protecting the world from Dr. Von Reichter's creations and his evil plans."
Date A Live,デート・ア・ライブ,TV,12,Finished Airing,"Apr 6, 2013 to Jun 22, 2013",Saturdays at 01 30 (JST),"Kadokawa Shoten, AT-X, Nippon Columbia, Fujimi Shobo",Funimation,AIC Plus+,Light novel,"Sci-Fi, Harem, Comedy, Romance, Mecha, School",23 min. per ep.,R,"7.25, 375529",671816,12250,"Thirty years ago, the Eurasian continent was devastated by a supermassive ""spatial quake""—a phenomenon involving space vibrations of unknown origin—resulting in the deaths of over 150 million people. Since then, these quakes have been plaguing the world intermittently, albeit on a lighter scale.

Shidou Itsuka is a seemingly average high school student who lives with his younger sister, Kotori. When an imminent spatial quake threatens the safety of Tengu City, he rushes to save her, only to be caught in the resulting eruption. He discovers a mysterious girl at its source, who is revealed to be a ""Spirit,"" an otherworldly entity whose appearance triggers a spatial quake. Soon after, he becomes embroiled in a skirmish between the girl and the Anti-Spirit Team, a ruthless strike force with the goal of annihilating Spirits.

However, there is a third party that  believes in saving the spirits: ""Ratatoskr,"" which surprisingly is commanded by Shidou's little sister!  Kotori forcibly recruits Shidou after the clash, presenting to him an alternative method of dealing with the danger posed by the Spirits—make them fall in love with him. Now, the fate of the world rests on his dating prowess, as he seeks out Spirits in order to charm them.

[Written by MAL Rewrite]"
Digimon Adventure 02,デジモンアドベンチャー０２,TV,50,Finished Airing,"Apr 2, 2000 to Mar 25, 2001",Sundays at 09 00 (JST),"Yomiko Advertising, Fuji TV","Saban Entertainment, Flatiron Film Company",Toei Animation,Original,"Action, Adventure, Comedy, Drama, Fantasy, Kids",25 min. per ep.,PG,"7.25, 117051",182407,786,"Taichi Yagami and his friends have moved on to junior high, but by that time, they have lost contact with their Digimon partners. Taichi is therefore surprised to suddenly receive a distress call summoning him to the Digital World. Once there, he learns that Digimon are living in fear of the mysterious Digimon Emperor, who is somehow suppressing their ability to Digivolve!

In the real world, Hikari Yagami and Takeru Takaishi reunite in the same fifth grade class. They share three schoolmates: Daisuke Motomiya, who reminds them both of Taichi; Miyako Inoue, a technical wizard; and Iori Hida, Miyako's neighbor. When these three children receive ""D-3"" Digivices, they—along with Hikari and Takeru, who still possess their own original Digivices—comprise the new generation of ""Chosen Children"" who must save the world once again. With the power of the Armored Digi-Eggs, they must thwart the Digimon Emperor's plans to spread his influence over the entire Digital World.

[Written by MAL Rewrite]
"
Doraemon A Grandmother's Recollections,ドラえもん おばあちゃんの思い出,Movie,1,Finished Airing,"Mar 4, 2000",,add some,add some,add some,Unknown,"Comedy, Fantasy, Kids, Sci-Fi, Shounen",27 min.,PG,"7.25, 864",1814,4,"Nobita misses his granny that died a few years ago, so Doraemon takes Nobita to the past to see his grandmother one more time. But they face through a lot of things such as the younger selves of Nobita and his friends, and young Nobita's mother that doesn't recognize Nobita or Doraemon. 

(Source: Wikipedia)"
Tower of Druaga The Sword of Uruk,ドルアーガの塔 ～the Sword of URUK～,TV,12,Finished Airing,"Jan 9, 2009 to Mar 27, 2009",Fridays at 01 30 (JST),Sotsu Music Publishing,Funimation,Gonzo,Game,"Adventure, Fantasy",24 min. per ep.,PG-13,"7.25, 34027",65080,91,"With broken spirits and enigmatic questions that hold no answers lingering, Jil is still trying to figure everything out. Then, a mysterious girl named Kai appears before him and says: ""Take me to the top of the tower.""

Kai's request shrouded in ambiguity, Jil will have another chance to work towards completing his destiny and ascend the Tower. With his hopes and aspirations seemingly slipping out of his hands, Jil must rise to the challenge once again on this never-ending adventure.

(Source: Crunchyroll)"
GeGeGe no Kitaro,ゲゲゲの鬼太郎 (2018),TV,97,Finished Airing,"Apr 1, 2018 to Mar 29, 2020",Sundays at 09 00 (JST),"Yomiko Advertising, Fuji TV",add some,Toei Animation,Manga,"Comedy, Demons, Supernatural, Shounen",23 min. per ep.,G,"7.25, 3554",38674,109,"Nearly twenty years into the 21st century, people have forgotten the existence of youkai. When a number of unexplainable phenomena plague adults of the human world with confusion and chaos, thirteen-year-old Mana writes a letter to the Youkai Post in search of answers, only to be greeted by Gegege no Kitarou...

(Source: Crunchyroll)"
,ひぐらしのなく頃に拡〜アウトブレイク〜,OVA,1,Finished Airing,"Aug 15, 2013",,"Geneon Universal Entertainment, Frontier Works, Sotsu, Daiichi Shokai",add some,Studio Deen,Visual novel,"Horror, Mystery, Psychological, Thriller",52 min.,R,"7.25, 25719",54164,110,"The story is set in the same Hinamizawa village of the previous stories. The village has been completely sealed off due to a mysterious virus in 1983, and Maebara Keiichi and Ryuuguu Rena deal with the outbreak.

(Source: ANN)"
The Swiss Family Robinson Flone of the Mysterious Island,家族ロビンソン漂流記ふしぎな島のフローネ,TV,50,Finished Airing,"Jan 4, 1981 to Dec 27, 1981",Sundays at 19 30 (JST),add some,add some,Nippon Animation,Novel,"Adventure, Drama, Historical, Slice of Life",24 min. per ep.,G,"7.25, 1599",4143,18,"10-year-old Flone is a very active, tomboyish sort of a girl. One day, her father receives a letter from his English friend who is now in Australia. In the letter, the friend asks her father to come down to Australia because of a serious shortage of doctors. The family decides to leave their old house in Bern. Now their drifting voyage has begun! 

Flone's fantastic adventures will teach children about the importance of family and the joys of living amidst nature's beauty."
