name_english,name_japanese,show_type,episodes,status,aired,broadcast_time,producers,licensors,studios,source,genres,episode_length,rating,score_and_scorers,members,favorites,description
,魔法使いなら味噌を喰え！,OVA,1,Finished Airing,"Jun 15, 2012",,AIC,add some,add some,Light novel,"Magic, Fantasy, School",12 min.,PG-13,"5.27, 2737",5715,1,"A world where the existence of magic has been known for a century as a mysterious power to rival science. However, the discovery of MISO — the Material of an Impediment to the Sorcerer's Orders — made magic into not a special power, but a technique that can be raised. One morning, while Shōta Hacchōya (a high school boy attending a magic academy) was tasting miso soup, a princess of Majieeru suddenly breaks in. Majieeru happens to be the birthplace of magic.

(Source: ANN)"
Momotaro Sacred Sailors,桃太郎 海の神兵,Movie,1,Finished Airing,"Apr 12, 1945",,"Shochiku, Ministry of the Navy",Funimation,Shochiku Animation Institute,Original,"Action, Military",1 hr. 15 min.,G,"5.27, 754",1715,3,"A monkey, a dog, a pheasant, and a bear travel southward after resting in their villages at the foot of Mt. Fuji. A squadron flies to Onigashima under the command of Momotarou. Parachutes blossom in the sky. Momotarou and company will take over the island after a swift and successful mission. The village children pretend parachuting with glee as they run towards Mt. Fuji.

(Source: Imagica)"
-OutsideR RequieM-,-OutsideR RequieM-,Music,1,Finished Airing,"Jan 23, 2018",,add some,add some,add some,Original,Music,2 min.,G,"5.27, 326",600,1,Official music video for the song Outsider:Requiem by the fictional band Irodorimidori. It is the 23rd song in the franchise and focuses on Naru Hakobe. 
Riki-Oh 2 Child of Destruction,力王2 「滅びの子」,OVA,1,Finished Airing,"Aug 24, 1990",,Trans Arts,Media Blasters,Magic Bus,Unknown,"Action, Martial Arts, Super Power, Seinen",45 min.,R,"5.27, 720",1570,2,"Child of Destruction is the sequel to the RIKI-OH OVA Wall of Hell.  Child of Destruction tells us more of Riki's past, as we flash back to his childhood to learn the terrible fate of his mother and how he himself was taken away from his twin brother Nachi during a game of hide-and-seek, with Nachi's plaintive cry of ""Are you ready yet?"" haunting him through the years. Riki has a six-pointed star emblazoned on his hand, while Nachi has a swastika on his, the significance of which go unexplained. Riki finds himself in the town of Misaki, dotted with illegal nuclear power plants and run by a religious fanatic military organization called ""God's Judgment."" He is taken prisoner and made to fight in gladiatorial matches in a sprawling arena. He finds his brother, whose special powers have given him the name of ""Savior,"" but his reunion with his resentful sibling turns sour rather quickly. Part 2 is much gorier than Part 1, with Riki smashing his fists into numerous soldier opponents with far less restraint.

(Source: IMDb)"
,参乗合体 トランスフォーマーGo!,OVA,10,Finished Airing,"Jul 1, 2013 to Apr 1, 2014",,add some,add some,Tatsunoko Production,Unknown,"Sci-Fi, Mecha, Shounen",13 min. per ep.,PG,"5.27, 179",597,0,"Bundled on DVDs with Shogakukan's Terebi-kun (TV-kun) magazine and Kodansha's TV Magazine.

(Source: ANN)"
Spotlight,娑羅双樹の花の色,Movie,1,Finished Airing,1971,,add some,add some,add some,Unknown,Drama,2 min.,R+,"5.27, 112",246,0,Independent animation by Tsukioka Sadao.
,スカーレッドライダーゼクス,TV,12,Finished Airing,"Jul 6, 2016 to Sep 21, 2016",Wednesdays at 01 35 (JST),"Sotsu, MediaNet, AT-X, MAGES., Docomo Anime Store, 5pb.",Funimation,Satelight,Visual novel,"Sci-Fi, Adventure, Harem, Romance",24 min. per ep.,PG-13,"5.27, 3361",18131,22,"The Blue World, which symbolizes reason, is under constant attack by the creatures called the Nightfly O'Note originating from the Red World, symbolizing instinct. Akira Asagi, the 17-year-old protagonist who is a researcher at Blue World, is nominated to lead the war at Ryuukyuu LAG, a proud defense facility on the islands of Ishigaki and Iriomote. She meets the sixth combat unit ""IS,"" which was formed four years after a fierce battle that annihilated the fifth unit. Akari must lead these six riders, also called the Scared Rider Xechs, to fight against the other world while at the same time deepening the relationship among them.

(Source: MAL News)"
,棚橋弘至☓豆しばプロレス,Special,2,Finished Airing,"Jul 9, 2013 to Aug 24, 2014",,add some,add some,add some,Original,"Comedy, Sports",30 sec. per ep.,G,"5.27, 193",482,1,"A collaboration between New Japan Pro Wrestling, Inc. and Mameshiba."
,TENSAI BANPAKU -GENIUS EXPO-,ONA,1,Finished Airing,"Dec 29, 2014",,Mirai Film,add some,add some,Unknown,Dementia,4 min.,G,"5.27, 256",527,0,Opening animation for Tensai Banpaku Genius Expo directed by Mirai Mizue.
,雪の日のたより,Music,1,Finished Airing,"Feb 4, 1978",,NHK,add some,add some,Original,"Music, Kids",2 min.,G,"5.27, 173",314,0,"A music video for the song by Youko Yoda that was featured on NHK's Minna no Uta program.

A little girl reminisces in winter of what spring will bring."
