name_english,name_japanese,show_type,episodes,status,aired,broadcast_time,producers,licensors,studios,source,genres,episode_length,rating,score_and_scorers,members,favorites,description
,細菌汚染 – Bacterial Contamination –,Music,1,Finished Airing,"Feb 3, 2012",,add some,add some,add some,Music,"Dementia, Horror, Music",4 min.,PG-13,"5.94, 2167",3593,9,"""Kill yourself.""

All it takes are those words to become the next victim. Ignore, slandered, and outcast, she has nowhere to turn. As their cruelty infects her, she begins to lose sight of herself. Her pain just won't go away, and as it consumes her whole being, she feels the only way to cleanse herself is to contaminate another.

[Written by MAL Rewrite]
"
,バーバパパ (1977),TV,48,Finished Airing,"Apr 30, 1977 to Jun 14, 1977",Unknown,KSS,add some,Topcraft,Picture book,"Comedy, Kids, Fantasy",5 min. per ep.,PG,"5.94, 199",568,1,"Based on a series of children's books written in the 1970s by Annette Tison and Talus Taylor.

Adding to the first serie from 1975, the second serie brings 48 new episodes.

(Source: AniDB)"
,バイオ・ハンター,OVA,1,Finished Airing,"Dec 8, 1995",,BMG Japan,Urban Vision,Madhouse,Manga,"Action, Demons, Horror",58 min.,R+,"5.94, 4516",10064,9,"Two scientists are attempting to distribute the cure for a demon virus that is affecting people all over Japan, however, things have become complicated. One of them has become infected. So begins his battle with himself, as he attempts to not only control his emerging demon side, but also to save the lives of others by wielding its great strength. 
"
Code Geass Lelouch of the Rebellion R2 Extra Flash - Baba Theater Redux,コードギアス 反逆のルルーシュ おまけFLASH「帰ってきたBABA劇場」,Special,9,Finished Airing,"Aug 22, 2008 to Apr 24, 2009",,add some,"Funimation, Bandai Entertainment","Sunrise, Bandai Visual",Unknown,Parody,1 min. per ep.,PG-13,"5.94, 4321",13672,19,9 flash anime specials included in the Code Geass R2 DVDs and BDs.
,コズミックブレイク,ONA,4,Finished Airing,"Sep 9, 2010 to Feb 8, 2012",,CyberStep,add some,add some,Game,"Game, Drama, Mecha",7 min. per ep.,PG-13,"5.94, 146",562,2,"The game is set in the distant future in a parallel dimension called the Cosmic Ark. There is a race of long-dormant, gigantic robots called Arks, which have suddenly awakened to find their galaxy being ruled by the evil Chaos. Since they lay dormant for aeons, the three remaining great Arks of Wisdom, Courage and Strength have been drained of their energy, and now there is only enough energy remaining for one of them to be revived with the power to vanquish the evil Chaos. In order to accomplish this, three different Unions of followers of each of the great Arks have formed, each competing for the revival of their respective Ark and thereby, for the defeat of the Chaos and the fate of the world.

Besides this overarching story, there are several backstories of characters of the game. There is, for example, the background of Crimrose and Ivis, the story of Eihwaz, or the meeting between Eris and Resha among others.

(Source: Wikipedia)"
,ダイバージェンス・イヴ,TV,13,Finished Airing,"Jul 2, 2003 to Sep 24, 2003",Wednesdays at 10 00 (JST),"Media Factory, Imagica, KlockWorx","ADV Films, Sentai Filmworks",Radix,Original,"Adventure, Comedy, Drama, Mecha, Military, Sci-Fi, Space",24 min. per ep.,R+,"5.94, 3286",10481,7,"In the 24th Century, Intergalactic Space Travel has become a reality. One of the first outposts in the far reaches of space is WATCHER'S NEST - an inflation hole drive portal - which has recently come under attack by a mysterious force known simply as GHOUL... A group of young female cadets assigned to the portal are unexpectedly thrown into a hornet's nest of trouble as they finalize their training to become an elite pilot in the Seraphim Squadron.

(Source: DVD Collection Back Cover)"
Dragon Ball Z Bio-Broly,ドラゴンボールZ 超戦士撃破!!勝のはオレだ,Movie,1,Finished Airing,"Jul 9, 1994",,add some,Funimation,Toei Animation,Manga,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",50 min.,PG-13,"5.94, 54581",88163,31,"Jaga Bada, Mr. Satan's old sparring partner, has invited Satan to his personal island to hold a grudge match. Trunks and Goten decide to come for the adventure and Android #18 is following Satan for the money he owes her. Little do they know that Jaga Bada's scientist have found a way to resurrect Broly, the legendary Super Saiyan."
,エスパー魔美 星空のダンシングドール,Movie,1,Finished Airing,"Mar 12, 1988",,add some,add some,Shin-Ei Animation,Unknown,"Fantasy, Shounen",41 min.,G,"5.94, 126",443,1,"Schoolgirl Mami Sakura discovers that she has superpowers. She can sense other people in trouble and teleport to help them, but she keeps her secret double-life hidden from her parents with the help of her schoolfriend, Kazuo Takahata. In this short film, Mami uses her powers to make a puppet show for deprived children. 

(Source: Anime Encyclopedia) "
,Fate/ゼロカフェ,Movie,2,Finished Airing,"Jul 13, 2013 to Mar 19, 2016",,add some,add some,ufotable,4-koma manga,"Comedy, Parody",10 min. per ep.,G,"5.94, 3128",16164,15,"The story re-imagines the cast of the Fate/Zero as cute super-deformed characters who open a café, led by Saber as the manager.

(Source: ANN)"
Moonlight Pierce,月光のピアス―ユメミと銀のバラ騎士団,OVA,1,Finished Airing,"Dec 14, 1991",,add some,add some,Studio Pierrot,Light novel,"Fantasy, Mystery, Romance, Shoujo",1 hr. 10 min.,G,"5.94, 128",627,0,"Because of a mysterious earring, Yumemi a young japanese student, becomes involved in a mysterious story. She must go to Germany, where she learns that the spirit of an evil prince is haunting her earring...
"
