name_english,name_japanese,show_type,episodes,status,aired,broadcast_time,producers,licensors,studios,source,genres,episode_length,rating,score_and_scorers,members,favorites,description
Scarab Beetle's Parade,カナブンの行進,ONA,1,Finished Airing,"May 4, 2011",,add some,add some,Saigo no Shudan,Original,"Music, Dementia",4 min.,R+,N/A,135,0,"A bizarre early work by Saigo no Shudan. They used children's toy instruments to create the kitschy soundtrack. ""Kanabun"" is the Japanese colloquial name for a drone beetle (Pseudotorynorrhina japonica) which is in the scarab family."
kanai,カナイ,ONA,1,Finished Airing,"Mar, 2011",,add some,add some,add some,Unknown,Mecha,5 min.,G,N/A,269,0,The story follows two girls who grow up on the island of Okinawa and a boy as they discover a robot.
,悲しみの子供たち,Music,1,Finished Airing,"Feb 15, 2020",,add some,add some,add some,Original,Music,3 min.,PG-13,N/A,94,0,Music video directed and animated by Mirai Mizue for the song Kanashimi no Kodomo-tachi by Japanese idol group Maison book girl.
,官兵衛くんがゆく,Special,3,Finished Airing,"Jan 2, 2014 to Jan 3, 2014",,NHK,add some,add some,Unknown,"Comedy, Historical, Kids",3 min. per ep.,PG,N/A,151,0,"Kanbee-kun with Nobunaga, Hideyoshi, and Ieyasu in manga. They are popular characters from ""Rekishi Hiwa Historia,"" the history show."
,金子みすゞ やさしさの風景,OVA,1,Finished Airing,2005,,Gakken,add some,add some,Unknown,"Drama, Kids",17 min.,G,N/A,126,0,Poetry of Kaneko Misuzu read while descriptive animations play in the background.
,考える時間,Movie,1,Finished Airing,"Jul, 2012",,add some,add some,add some,Original,"Dementia, Music",3 min.,G,N/A,76,0,A short rotoscope film by Mika Seike.
,寒月一凍 悪霊斬り,OVA,2,Finished Airing,"Oct 5, 1989 to Dec 21, 1989",,Magic Bus,add some,add some,Unknown,"Action, Martial Arts, Samurai",45 min. per ep.,R,N/A,255,0,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
,かんかんからす,Music,1,Finished Airing,"Apr 4, 1982",,NHK,add some,add some,Original,"Kids, Music",2 min.,G,N/A,42,0,Music video for the song Kankan Karasu by Tokiko Katou that was featured on NHK's Minna no Uta program. The video features artwork by Kiyoshi Nakashima.
,かんからさんしん,Movie,1,Finished Airing,"Aug 4, 1989",,Tokyo Animation Film,add some,add some,Unknown,"Drama, Historical",1 hr. 18 min.,PG,N/A,305,0,"A film about the Battle of Okinawa during the last days of World War II.

During the World War II island hopping campaign there was a fierce battle on Okinawa that devastated the population and ravaged the land and left a mark on the populace of the Okinawan people forever. After the war Okinawa was under the control of the United Stated Military. Without any goods and extreme scarcity of Natural resources the Okinawans were in a desperate day to day survival for the basic needs of life. The Okinawans however, despite their dire situation used song and dance to lighten their spirit and make the best of the situation. But with the loss of almost everything of value on island due to constant shelling bombing and fighting between the Japanese and American all the regular sanshin (an Okinawan musical instrument and precursor of the Japanese shamisen) had become very scarce and hard to find. The American were supplying the Okinawans with powdered milk among other items to help keep starvation low. And from those cans of food they would find a way to bring music back to the people again.

(Source: AniDB)"
,観光大戦SAITAMA～サクヤの戦い～,ONA,4,Finished Airing,"Apr 21, 2011 to May 13, 2011",,add some,add some,add some,Unknown,,7 min. per ep.,G,N/A,212,1,"Saitama Prefecture released this promotional 4-episode ONA to highlight more than 50 tourist destinations.

(Source: AniDB)"
