name_english,name_japanese,show_type,episodes,status,aired,broadcast_time,producers,licensors,studios,source,genres,episode_length,rating,score_and_scorers,members,favorites,description
"Don't Leave Me Alone, Daisy",みすて♡ないでデイジー,TV,12,Finished Airing,"Jul 3, 1997 to Sep 18, 1997",Thursdays at 01 45 (JST),add some,Bandai Entertainment,Studio Deen,Manga,"Sci-Fi, Comedy, Romance, Shounen",24 min. per ep.,PG-13,"5.67, 314",1233,3,"The story begins when an innocent, but busty, young schoolgirl goes to recover her hat from what she thought was an abandoned house. But within that house, spying on her, is a deranged madman. Seeing her he becomes obsessed with controlling her, owning her, bending her to his every whim. He, and his array of high tech tools, will threaten her with death, mutilation, control, humiliation and the loss of her own will and identity. Terrors biological, chemical and nuclear will come into play in the nightmare that is her new, controlled, life.

(Source: AniDB)"
,ジオニックフロント 機動戦士ガンダム0079,Special,1,Finished Airing,"Sep 6, 2001",,Bandai,add some,Sunrise,Unknown,"Mecha, Military",10 min.,PG-13,"5.67, 447",1638,0,"Short animated recap of the One Year War from the perspective of LCDR. Garret Schmitzer. 

Included on the game disc of the Mobile Suit Gundam: Zeonic Front, a PS2 game by BANDAI."
,森永乳業 × メアリと魔女の花,Special,4,Finished Airing,"Apr 6, 2017 to 2017",,add some,add some,add some,Other,"Slice of Life, Magic",15 sec. per ep.,G,"5.67, 263",1213,1,"A collaboration between Morinaga Milk Industry and Mary to Majo no Hana. It features newly animated scenes of Mary to Majo no Hana that have the characters savor Morinaga food products: Bifidus yogurt, PARM ice-cream, Philadelphia cream cheese slices (3-layer cheese slices where Philadelphia cream cheese is sandwiched between Kraft singles), and MOW ice-cream."
,無限のリヴァイアス イリュージョン,ONA,6,Finished Airing,1999 to 2000,,add some,add some,Sunrise,Unknown,Comedy,7 min. per ep.,PG-13,"5.67, 233",814,0,Short ONA episodes streamed on the TV Tokyo's and Bandai's official websites.
,ぷちえう゛ぁ,ONA,24,Finished Airing,"Mar 20, 2007 to Mar 11, 2009",,"Bandai Visual, Bandai Channel",add some,"Xebec, Kanaban Graphics",Original,"Comedy, Parody, School",3 min. per ep.,G,"5.67, 8231",21028,31,"""The Bandai Channel website announced that Petit Eva ~Evangelion@School~, the ""first official super-deformed series"" based on Neon Genesis Evangelion, will be adapted for video. The official announcement will be made in the September issue (on sale August 10) of Newtype magazine in Japan. The Gainax/Khara franchise spinoff spoofs the psychological science fiction drama by reimagining the characters as classmates in Tokyo-3's Nerv School, headed by Principal Gendō Ikari and Misato-sensei. The student body includes three different Rei ""sisters,"" the EVA-01 mobile weapon reimagined as the school bully Evanchō, and the ill-fated Jet Alone robot as JA-ko, a ""hidden character"" in the form of a shy android girl. 

Ryuusuke Hamamoto created the character designs which has inspired four-panel gag manga serializations in four different magazines: Monthly Shōnen Ace, Newtype, Dengeki Hobby Magazine, and Figure Oh. The Petit Eva project has also developed merchandising from super-deformed figurines to limited edition Doritos corn chips.""

(Source: MoonPhase)"
,プラネテス オーディオドラマ,Special,9,Finished Airing,"Sep 25, 2009",,Bandai Visual,add some,Sunrise,Unknown,"Comedy, Sci-Fi, Space",3 min. per ep.,PG-13,"5.67, 548",1849,0,Planetes picture drama.
,「reunion」,Music,1,Finished Airing,"Apr 17, 2013",,Sony Music Entertainment,add some,add some,Unknown,Music,5 min.,G,"5.67, 1210",2427,2,"Music video/PV for ClariS' single ""reunion."" The song was used as the opening theme for ""Ore no Imoto ga Konna ni Kawaii Wake ga nai"" second season. Released on April 17, 2013, and was also included in the ""second story"" album."
,神世紀伝　マーズ,TV,13,Finished Airing,"Oct 31, 2002 to Feb 6, 2003",Unknown,Plum,add some,add some,Manga,"Mecha, Sci-Fi, Shounen",25 min. per ep.,None,"5.67, 285",1025,1,"Mars is discovered on a forming volcano island, Heisei; a man with no memory. In reality, Mars is from outer space, and is supposed to gather information to decide whether Earth should be destroyed or not. Along with the giant robot Gaia, and his mysterious images of a woman urging him not to destroy the world, Mars decides to fight for Earth rather than destroy it, even if it means fighting his own kind. But if Mars is killed, Gaia will explode, destroying Earth along with it.

(Source: ANN)"
,TAMALA2010 a punk cat in space,OVA,2,Finished Airing,"Aug 24, 2007",,add some,add some,Studio Pierrot,Original,"Dementia, Sci-Fi",17 min. per ep.,G,"5.67, 308",1067,0,"After a long 5-year wait, the team that created the widely acclaimed ""TAMALA2010 A Punk Cat in Space"" (Winner of the Jury and Public's Prize for Best Animated Feature Film in Canada's FanTasia 2003), brings you a fusion of extremely cute graphics and nice music. Also included are 3 shorts directed by Studio 4C's Hidekazu Ohara. It's a new animation world you'd want to see and listen to again and again.

(Source: AniDB)"
,WORKU (ウォルク),ONA,2,Finished Airing,"Apr 5, 2005 to Mar 14, 2017",,The Village of Marchen,add some,add some,Unknown,"Psychological, Fantasy",11 min. per ep.,G,"5.67, 146",447,0,"A dark stop motion anime about a lone traveler in a desert who finds a solitary box. When he opens it, he finds a rundown and rather spooky city made up of large tower block apartments. Suddenly, a mysterious ghostly stick entity appears and seems to follow our hero. What is the purpose of this strange figure?"
,幽幻怪社 事件ファイル00 始まりは妖しくも華やかに,Special,1,Finished Airing,"Jul 25, 1994",,add some,add some,Madhouse,Original,"Adventure, Comedy, Supernatural",21 min.,PG-13,"5.67, 156",595,0,"Prologue episode. The first half features main characters in their chibi forms introducing each other and explaining the premise of the show. The second half features footage of seiyuus working, talking about the show and doing some funny stuff."
,忍者龍剣伝,OVA,1,Finished Airing,"Nov 22, 1991",,add some,add some,Studio Junio,Game,"Action, Sci-Fi, Demons, Supernatural, Thriller",48 min.,R,"5.66, 1687",3631,4,"On a dark, late night in New York City, Ryu is chased and attacked by assassins. After disposing of them, he finds an I.D. card for the Friedman Company. The next day, it is announced that Dr. Ned Friedman has discovered a cure for cancer. But after providing no information at his press conference, a reporter named Sarah decides to investigate with the help of her friends Robert and Jeff. When passing by Dr. Friedman's house one day, Ryu hears the voice of a young girl calling for help. When Sarah and her entourage investigate the house as well, they run into their colleague, Ryu. Upon that, they discover Dr. Friedman has been conducting experiments on live humans using biotechnology, and that it may have something to do with the power of the Evil Gods, whom Ryu had defeated in the past. But when Ryu's friend, Irene, is kidnapped, he must dawn his role as a Dragon Ninja once again to defeat this new enemy and save her. 

(Source: ANN)"
The Fashion Boy is Cool,お洒落小僧は花マルッ,OVA,1,Finished Airing,"Apr 23, 1993",,add some,add some,Madhouse,Manga,"Romance, Shoujo",30 min.,PG-13,"5.66, 274",748,0,"Kotobuki is a cheerful outgoing 14 year old girl. She's a young lady with good fashion sense and her favorite pass-time includes browsing through specialty shops, gift shops, and clothing stores. Her favorite store is ""Galopine Et Galopin"", a clothing store run by a young fashion designer named Hodaka-san. Hodaka is a handsome, quiet, reserved young man who's designs are making him very popular in the fashion world.

(Source: AniDB)"
