name_english,name_japanese,show_type,episodes,status,aired,broadcast_time,producers,licensors,studios,source,genres,episode_length,rating,score_and_scorers,members,favorites,description
,ほえろブンブン,TV,39,Finished Airing,"Oct 9, 1980 to Jul 9, 1981",Unknown,"TV Tokyo, Wako Productions",add some,add some,Unknown,"Adventure, Slice of Life",23 min. per ep.,G,"6.35, 154",642,2,"Bunbun, an abandoned puppy meets the old Big, also a stray dog. Bunbun will learn to survive in an hostile and strange world. 

(Source: manga-distribution.fr)"
,一騎当千 Western Wolves,OVA,3,Finished Airing,"Jan 3, 2019 to Feb 27, 2019",,"Genco, AT-X, Bushiroad, Shounen Gahousha, Kadokawa",add some,Arms,Manga,"Action, Ecchi, Martial Arts, School, Seinen, Super Power",30 min. per ep.,R+,"6.35, 1392",7894,14,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
La croisée dans un labyrinthe étranger Yune & Alice,異国迷路のクロワーゼ 「湯音＆アリス」,Special,7,Finished Airing,"Sep 21, 2011 to Mar 21, 2012",,add some,add some,Satelight,Manga,"Historical, Seinen, Slice of Life",2 min. per ep.,G,"6.35, 1493",4289,3,"Each of the seven volumes of the Blu-ray & DVDs will carry a short SD anime titled ""Yune & Alice""."
,重戦機エルガイムⅢ フルメタル ソルジャー,OVA,1,Finished Airing,"Mar 28, 1987",,Starchild Records,add some,Sunrise,Unknown,"Action, Mecha, Sci-Fi, Shounen",56 min.,PG-13,"6.35, 242",896,1,"A side story taking place somewhere before the second half of the series, prior to Daba acquiring the L-Gaim Mk-II. Daba's comrade Leccee is captured by Poseidal's forces, and Daba and his rebels attempt to save her. "
,かっちけねぇ！,Movie,1,Finished Airing,"Mar 19, 2016",,add some,add some,Tezuka Productions,Original,Supernatural,24 min.,PG-13,"6.35, 275",1697,4,"Aiko lives in a shrine with a sliding door that mysteriously is only half painted and thought during her childhood that she wanted to paint it. But the 17-year old Aiko now has no dreams about the future. Suddenly, a strange man appears before her. Aiko's grandfather and the shrine's chief priest offers the man to stay in the shrine, but Aiko isn't having any of it. But he realizes the kindness of the brusque young man and slowly comes to like him. What is his true identity?

(Source: MAL News)"
,血液型くん！4,TV,12,Finished Airing,"Jan 12, 2016 to Mar 29, 2016",Tuesdays at 01 08 (JST),add some,add some,"feel., Zexcs",Web manga,Comedy,2 min. per ep.,PG-13,"6.35, 1014",2469,1,Fourth season of the Ketsuekigata-kun! series.
,キン肉マン (キン肉マン 奪われたチャンピオンベルト),Movie,1,Finished Airing,"Jul 14, 1984",,add some,add some,Toei Animation,Unknown,"Action, Comedy, Sports, Shounen",48 min.,PG-13,"6.35, 266",982,2,Mari and Kinnikuman's Championship Belt are stolen by the Octopus Dragon and his minions. Now Kinnikuman and the other Justice Choujins must travel to Planet Metro and compete in a tournament in order to win them back.
,キン肉マン 決戦!7人の正義超人vs宇宙野武士,Special,1,Finished Airing,"Jul 4, 1984",,add some,add some,Toei Animation,Manga,"Action, Comedy, Sports, Shounen",1 hr. 12 min.,PG-13,"6.35, 215",745,0,"A TV Special first aired in 1984. It covers the Planet Rakka story arc and takes place after the 21st Choujin Olympics Arc. A young boy from Planet Rakka named Beansman asks Kinnikuman and the others to help save his planet from the Space Samurais led by Black King. The story was a parody of The Seven Samurai.

(Source: Kinnikuman Wiki)"
,KITE LIBERATOR (カイト リベレイター),OVA,1,Finished Airing,"Mar 21, 2008",,"Lantis, Happinet Pictures",Media Blasters,Arms,Original,"Action, Sci-Fi, Drama",58 min.,R+,"6.35, 10997",22275,26,"In the previous series ""Kite,"" a killer—Sawa—suddenly disappears after she avenges her parents' death, and no one knows where she is.

Several years later, a figure dances airily on the dark side of a big city. She is an angel of death, killing her victim gracefully and disappearing.

Monaka is a normal high school student, though this quiet and modest life has a darker side. An angel of death is Monaka's other persona."
Adventures of Little El Cid,リトル・エル・シドの冒険,TV,26,Finished Airing,"Feb 6, 1984 to Mar 12, 1984",Not scheduled once per week,add some,add some,Nippon Animation,Original,"Kids, Adventure, Historical",25 min. per ep.,G,"6.35, 155",529,1,A boy named Rui Diaz De Vivar wants to become a knight. To do so he must travel the king of Castilla.
