name_english,name_japanese,show_type,episodes,status,aired,broadcast_time,producers,licensors,studios,source,genres,episode_length,rating,score_and_scorers,members,favorites,description
Pandora in the Crimson Shell,紅殻のパンドラ,TV,12,Finished Airing,"Jan 8, 2016 to Mar 25, 2016",Fridays at 23 00 (JST),"Lantis, Rakuonsha, AT-X, KlockWorx",Funimation,"Studio Gokumi, AXsiZ",Manga,"Action, Sci-Fi, Comedy, Ecchi",24 min. per ep.,PG-13,"6.53, 12467",38979,81,"Onboard a cruise ship heading to the scenic Cenancle Island, the full-body cyborg Nene Nanakorobi, a bubbly young girl who dreams of world peace, meets inventor Uzal Delilah. The two become fast friends along with Uzal's pet cyborg Clarion, a cat-like combat android. Soon after parting ways, a terrorist attack on the island threatens to shatter the pair's new friendship. In a bid to save her new friend, Uzal gives Nene the ability to use the Pandora Device found in Clarion's body before seemingly dying. With this power, Nene can temporarily master abilities and skills never seen before in the advancing world.

Working together, the two unlikely companions go on various missions—from saving children in shopping mall fires to fighting reckless thieves—all in the name of world peace. But to achieve this goal is not easy. B.U.E.R, a sentient laser in the form of a misshapen teddy bear, threatens to wreck their happy lives with his perverted nature and uncontrollable power. And to make matters worse, Nene's guardian, as well as genius inventor, Takumi Korobase has an undying interest in B.U.E.R.

Burdened with saving the world and keeping B.U.E.R from the hands of evil, Nene and Clarion's desire for world peace seems like a pipe dream. With this monumental goal, could the weight of it all destroy the pair's friendship completely? 

[Written by MAL Rewrite]"
,くまみこ,Special,2,Finished Airing,"Jun 24, 2016 to Aug 24, 2016",,add some,add some,"Kinema Citrus, EMT Squared",Manga,"Comedy, Seinen",16 min. per ep.,PG-13,"6.53, 2282",6357,2,Special episodes included in the Blu-ray and DVD boxes of Kuma Miko.
,まじかる☆タルるートくん,TV,87,Finished Airing,"Sep 9, 1990 to May 10, 1992",Sundays at 08 30 (JST),add some,add some,Toei Animation,Manga,"Adventure, Comedy, Ecchi, Fantasy, Magic, School",25 min. per ep.,PG-13,"6.53, 143",953,5,"Magical Taruruto-kun is a magical boy, fighting, and comedy TV show based on the manga of the same name by Tatsuya Egawa which ran in Weekly Shounen Jump."
Magical Princess Minky Momo La Ronde in my Dream,魔法のプリンセス ミンキーモモ夢の中の輪舞,OVA,1,Finished Airing,"Jul 28, 1985",,add some,add some,Production Reed,Unknown,"Magic, Shoujo",1 hr. 26 min.,G,"6.53, 504",1467,5,"Minky Momo travels to an island where she finds a land of children and gets tangled up in an absurd, no-holds-barred standoff against the world's nations. Has ""Dr. Strangelove"" references.

(Source: AniDB)"
,宮河家の空腹,ONA,10,Finished Airing,"Apr 29, 2013 to Jul 1, 2013",,add some,add some,"Ordet, Encourage Films",Manga,Slice of Life,5 min. per ep.,PG-13,"6.53, 9707",20271,29,A spin-off of Lucky Star. Centers around big sister Hinata Miyakawa and little sister Hikage Miyakawa's impoverished daily life at home (due to Hinata's wasteful habits) and Hikage's life at elementary school.
Monster Girl Doctor,モンスター娘のお医者さん,TV,12,Finished Airing,"Jul 12, 2020 to Sep 27, 2020",Sundays at 23 00 (JST),"Magic Capsule, Hakuhodo DY Music & Pictures, Bandai Namco Arts",add some,Arvo Animation,Light novel,"Comedy, Romance, Ecchi, Fantasy",23 min. per ep.,PG-13,"6.53, 32516",98522,259,"After years of conflict, humans and monsters have settled their differences and are now at peace. This post-war era led to the foundation of Lindworm—a town which has since become the focal point of racial harmony.

As a human doctor specializing in monster biology, Glenn Litbeit runs a small clinic alongside his partner, Saphentite Neikes, who is a half-snake monster known as a lamia. He uses his knowledge to tend to any monsters who seek his aid. Whatever affliction, concern, or injury it may be, he will always be there, ready to help.

[Written by MAL Rewrite]"
,赤い糸,Special,1,Finished Airing,2009,,add some,add some,add some,Unknown,"Drama, Romance, Slice of Life",4 min.,G,"6.52, 1152",2230,2,"The film takes a simple idea—creating a picture using a simple thread—and transforms it into an engaging flow of animated images. From East Asian folklore, Okushita takes the symbol of the red string of fate. There are many variations of this ancient tale, but the main idea is that the gods tie men and women together who are destined as each other's soul mates together with a red thread.

An invisible red thread connects those who are destined to meet,
regardless of time, place, or circumstance.
The thread may stretch or tangle, but it will never break.
-ancient Chinese belief

(Source: Nishikata Film Review)"
Arata The Legend,アラタカンガタリ～革神語～,TV,12,Finished Airing,"Apr 9, 2013 to Jul 2, 2013",Tuesdays at 02 05 (JST),"TV Tokyo, Sotsu, Lantis, JM Animation",add some,Satelight,Manga,"Adventure, Fantasy, Shounen",24 min. per ep.,PG-13,"6.52, 27130",59451,60,"As a young boy from a noble family in Amawakuni, Arata has always expected to make life his own—until word of the princess growing weak reaches his city. Unbeknown to him, his grandmother had claimed him to be female at birth, and now, with no other girls to succeed the princess from the matriarchal Hime clan, he is next in line for the throne! Disguised as a woman awaiting a replacement to be found, Arata witnesses an assassination attempt on the princess by none other than her own guard, the 12 Shinsho. The crime is pinned on his head, forcing Arata to escape to the Kando forest, where it is said that no one comes out the same.

Meanwhile, in modern-day Japan, Arata Hinohara longs for escape from the cruelty of his classmates. Hearing his name called from an alley, he wanders from his path and unwittingly switches universes with Arata from Amawakuni. With his own power as a newly awakened ""Sho""—a warrior able to wield Hayagami, weapons with the power of the gods—and the help of his companions he meets along his journey, Hinohara sets out to restore order to this new world.

[Written by MAL Rewrite]"
Valley of White Birds,白鸟谷,Movie,1,Finished Airing,"Jun 12, 2017",,add some,add some,Wolf Smoke Studio,Original,"Supernatural, Magic, Fantasy",15 min.,G,"6.52, 141",365,1,"In his pursuit of the white bird, Sheng must face his own inner guilt and fear. Following a tortuous journey, the young Sheng is reborn."
Bananya and the Curious Bunch,ばなにゃ ふしぎななかまたち,TV,13,Finished Airing,"Oct 1, 2019 to Dec 24, 2019",Tuesdays at 07 30 (JST),add some,add some,"TMS Entertainment, Gathering",Original,"Slice of Life, Comedy, Kids",2 min. per ep.,G,"6.52, 3401",7639,18,"On a little planet live little creatures called ""Bananyas."" Come watch their daily lifes full of adventures and discoveries."
