name_english,name_japanese,show_type,episodes,status,aired,broadcast_time,producers,licensors,studios,source,genres,episode_length,rating,score_and_scorers,members,favorites,description
Cocomong 3,코코몽3,TV,26,Finished Airing,"Mar 4, 2015 to May 28, 2015",Not scheduled once per week,add some,add some,add some,Original,Kids,11 min. per ep.,G,N/A,85,0,The third season of Cocomong.
,コードギアス 反逆のルルーシュ DVDマガジン,Special,4,Finished Airing,"Dec 21, 2007 to Jan 25, 2008",,add some,add some,add some,Original,Comedy,4 min. per ep.,PG-13,N/A,111,0,"Short episodes included in the ""Code Geass DVD Magazine""."
,コードギアス 反逆のルルーシュ 仮面告白大会 第1週来場者特典 ピクチャードラマ,Special,1,Finished Airing,"Oct 21, 2017",,add some,add some,add some,Original,"Comedy, School",10 min.,PG-13,N/A,117,1,A picture drama bonus included in a special DVD given to all who purchased a ticket for the film Code Geass: Hangyaku no Lelouch I - Koudou over the course of the first six weeks of airing.
,珈琲いかがでしょう,ONA,30,Finished Airing,"Aug 24, 2018",,"Half H.P Studio, Anime Beans",add some,Asura Film,Manga,"Slice of Life, Seinen",53 sec. per ep.,PG-13,N/A,417,0,"The anime follows a coffee food truck shop, where the barista makes an individual cup for each customer. The coffee brewed conscientiously, sincerely, and wholeheartedly helps customers unwind.

(Source: ANN)"
Tumulus Gal Coffy,古墳ギャルのコフィー,ONA,10,Finished Airing,2005,,add some,add some,add some,Unknown,"Comedy, Historical, Parody",9 min. per ep.,G,N/A,193,0,"Tumulus Gal Coffy goes to Tumulus High School, where a barrow tomb from the Yayoi period, the royal successor of the tumulus world, a grave from America, a commander from the Sengoku period as a teacher, and various other tumuli gather. Enjoy the tumuli love, friendship, and youth depicted in a cemetery school love comedy."
Tumulus Gal Coffy,古墳ギャルのコフィー,TV,11,Finished Airing,"Apr 6, 2006 to Jun 15, 2006",Unknown,add some,add some,add some,Unknown,"Comedy, Parody",11 min. per ep.,PG-13,N/A,238,0,"The TV adaptation of the ONA series. Unlike the ONA, which has 10 episodes, this series has 11 episodes."
,古墳ギャルのコフィー,Special,4,Finished Airing,"Sep 21, 2006 to Dec 22, 2006",,add some,add some,add some,Original,"Comedy, Parody",11 min. per ep.,PG-13,N/A,140,0,"Cofun Gal no Coffy (TV) DVD specials. The official website lists these episodes as various ""pilots""."
,古墳ギャルのコフィー クリスマス大作戦,Special,1,Finished Airing,"Oct 11, 2007",,add some,add some,add some,Original,"Comedy, Parody",9 min.,PG-13,N/A,133,0,"A DVD special of Cofun Gal no Coffy (TV) for the Limited Edition Box Set only, chronologically it is episode 10."
Tumulus Gal Coffy Campus Life,古墳ギャルのコフィー　キャンパスライフ,TV,11,Finished Airing,"Oct 7, 2009 to Dec 16, 2009",Unknown,add some,add some,add some,Unknown,Comedy,10 min. per ep.,PG-13,N/A,225,0,"The sequel to Cofun Gal no Coffy (TV), it takes place 3 year later via a college campus life comedy about 20-year-old college student Coffy, her boyfriend Nintoku-kun, her childhood friend Daniel, her love rival Dorothy, and Okehazama-sensei, who quit being a teacher and became the chief of the college mart."
,古墳ギャルのコフィー　キャンパスライフ,Special,5,Finished Airing,"Dec 18, 2009 to Mar 19, 2010",,add some,add some,add some,Original,"Comedy, Parody",11 min. per ep.,PG-13,N/A,134,0,Specials included on the DVD release of the Cofun Gal no Coffy Campus Life series.
,「古墳ギャルのコフィー キャンパスライフ」～イントロ～,ONA,1,Finished Airing,"Oct 27, 2009",,add some,add some,add some,Original,"Comedy, Parody",4 min.,G,N/A,156,0,An introduction web episode to Cofun Gal no Coffy Campus Life while also covering the main cast and characters of the previous season. This episode was also included in Cofun Gal no Coffy Campus Life's DVD release.
Tumulus Gal Coffy Cofunderella,古墳ギャルのコフィー ～コフンデレラ～,Movie,1,Finished Airing,"Jan 16, 2010",,add some,add some,add some,Original,Comedy,20 min.,G,N/A,204,0,"The Frogman Company presents, a Tumulus Cinderella Story! Once upon a time, a gentle girl named Coffy lived a life of misery, being treated like trash by her sister-by-law Daniel and her family. Coffy was not allowed to go to the dance party where Prince Charles would choose his bride, but... "
Tumulus Gal Coffy the 12 Angry Tumuli,古墳ギャルのコフィー ～１２人の怒れる古墳達～,Movie,1,Finished Airing,"May 24, 2008",,add some,add some,add some,Unknown,Comedy,30 min.,G,N/A,198,0,"Coffy and Daniel were practicing the Japanese lion dance for their exhibit in the school festival, when Abukuma-san started yelling at them for being so loud. Coffy's temper snaps, and she hurls his beloved bonsai at him. Daniel becomes convicted for damaging property. What will become of the trial?"
Tumulus Gal Coffy The Battle of Okehazama,古墳ギャルのコフィー　～桶狭間の戦い～,Movie,1,Finished Airing,"Mar 17, 2007",,add some,add some,add some,Unknown,"Parody, Comedy, Historical",16 min.,G,N/A,193,0,"Coffy, Daniel, and Okehazama-sensei accidentally entered the Forbidden Room behind the school building of Tumulus High School. When they managed to get out, they realized they had slipped back in time! Why did Okehazama-sensei become a fallen soldier? The truth behind the famous Japanese historical event, the Battle of Okehazama, is revealed!"
Cogimyun,こぎみゅん,ONA,24,Finished Airing,"Jul 30, 2017 to Jan 7, 2018",,add some,add some,add some,Other,"Kids, Fantasy",1 min. per ep.,G,N/A,133,0,"The series centers on the flour dough spirit Cogimyun, who actually really wants to be an onigiri. She takes care of her grandfather's apartment complex due to her grandfather being away. The denizens of the apartment are all ""Kogimuko,"" which are all food that center on flour dough. 

(Source: ANN)"
Collapse Zen,Collapse Zen,ONA,1,Finished Airing,"Oct 26, 2014",,add some,add some,add some,Original,Dementia,2 min.,G,N/A,140,0,Short animation by Kojirou Shishido featuring various grey structures crumbling apart.
,コロンブスの大冒険,OVA,1,Finished Airing,"Dec 23, 1992",,SPO Entertainment,add some,add some,Original,"Adventure, Historical, Drama",1 hr. 10 min.,G,N/A,168,0,"As he nears the New World, Christopher Columbus tells cabin boy Paco about his youthful hardships, the difficulties of convincing others of his vision, and the final victory when King Ferdinand and Queen Isabella agreed to sponsor his trip. The sailors are doubtful, though Columbus is vindicated when they arrive on land, but it's not as the planned destination of Japan.

(Source: The Anime Encyclopedia)"
Compiler Music Clips in Trackdown,Compiler Music Clips in Trackdown,Music,6,Finished Airing,"Sep 5, 1992",,add some,add some,add some,Manga,Music,4 min. per ep.,R+,N/A,192,0,Based on the Compiler manga series by Kia Asamiya. 
Complex x Complex,こんぷれっくす×コンプレックス,Movie,1,Finished Airing,2015,,add some,add some,add some,Original,School,24 min.,PG-13,N/A,172,0,"The story follows the protagonist girl Yui Kotani, a second-year junior high school student who is obsessed with men's underarm hair, and the relationship with her male classmate Masato Takeo who has the thickest underarm hair in the class.

(Source: Crunchyroll)"
,コンドームバトラー ゴロー,ONA,4,Finished Airing,"Jun 11, 2020",,add some,add some,add some,Original,"Action, Parody",57 sec. per ep.,PG-13,N/A,205,1,"The show follows Gorou, a 24-year-old man who dreams of becoming the greatest Condom Battler. His go-to weapon is a 0.01 mm condom which he loads into an arm dispenser, and it opens to reveal a red rubbery armor that Gorou wears in battle. It also gives the hero the ability to summon sperm and created an attack out of the sticky substance.

There are other characters in the anime like Miku and Hayato who duel using their own condoms. The anime is filled with absurd dialogue and fights, but these heroes always make sure to teach a sex education lesson along the way. 

(Source: Comicbook.com)"
,聪明的一休之反斗公主,Movie,1,Finished Airing,"Apr 30, 2014",,add some,add some,add some,Unknown,"Kids, Comedy, Historical",1 hr. 21 min.,G,N/A,214,0,A Chinese film version of the original Japanese Ikkyuu-san anime.
Controller of Controller,Controller of Controller,Movie,1,Finished Airing,"May 18, 2016",,add some,add some,add some,Original,"Cars, Comedy, Dementia, Music",7 min.,G,N/A,193,0,A video game character finds a VR headset on the street.
,こんびに戦記　プリンタイ,ONA,8,Finished Airing,2008,,Opera House,add some,add some,Unknown,Comedy,1 min. per ep.,G,N/A,162,0,A series of shorts for the HP FamilyMart chain.
,クッキングパパ クリスマススペシャル,Special,1,Finished Airing,1993,,add some,add some,Eiken,Unknown,"Slice of Life, Comedy",46 min.,None,N/A,216,0,"Special of Cooking Papa.
"
Copy,コピー,Music,1,Finished Airing,"Dec 16, 2010",,add some,add some,add some,Original,Music,1 min.,G,N/A,120,0,"Music video for the song Copy by the band Kaisoku Tokyo for their first album ""Music Station."""
Coral Investigates,コラルの探検,TV,50,Finished Airing,"Apr 7, 1979 to Mar 29, 1980",Saturdays at Unknown,TBS,add some,add some,Other,"Adventure, Kids, Music",25 min. per ep.,G,N/A,188,0,"Hector the Rat teams up with his fellow denizens of Pretty Wood, including the titular Coral (a young girl) and the unimaginatively named Crow (a crow), to head off to Holland. With many musical scenes, the voice actors were chosen for their singing ability above all considerations.

(Source: The Anime Encyclopedia)"
,ころころコロニャ,ONA,13,Finished Airing,"Nov 3, 2019 to Jan 26, 2020",,add some,add some,add some,Original,Kids,30 sec. per ep.,G,N/A,69,0,"Corocoro Coronya is a cat who loves to roll (corocoro) and spends a lot of his time in a cornet. San-X released this character with goods, LINE stickers, and merchandise in 2017 though its public debut was in 2016. "
,「宇宙」予告編アニメ映像,ONA,1,Finished Airing,"Jun 6, 2019",,"Half H.P Studio, Flat Studio",add some,A-1 Pictures,Original,"Music, Slice of Life",2 min.,None,N/A,146,0,Animated trailer for Chronicle's song Cosmos.
,countdown,Movie,1,Finished Airing,2002,,add some,add some,add some,Unknown,Dementia,1 min.,G,N/A,163,0,"""I would make my new animation with my New Year's cards, and my New Year's cards with my new animation.""

(Source: Maya Yonesho)"
CP,CP,Music,1,Finished Airing,"Jan 27, 2020",,Sony Music Entertainment,add some,add some,Original,Music,4 min.,G,N/A,106,0,"Official music video for the chef cooks me's song CP for their album Feeling that was released on October 2, 2019. "
