name_english,name_japanese,show_type,episodes,status,aired,broadcast_time,producers,licensors,studios,source,genres,episode_length,rating,score_and_scorers,members,favorites,description
,ぬ～ぼ～なこころ,ONA,52,Finished Airing,"Aug 3, 2009 to 2010",,add some,add some,add some,Unknown,"Kids, Slice of Life",1 min. per ep.,PG,N/A,160,0,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Noonbory & the Super 7,눈보리,TV,26,Finished Airing,"Sep 19, 2009 to Dec 12, 2009",Unknown,add some,add some,Daewon Media,Unknown,"Kids, Fantasy",28 min. per ep.,PG,N/A,161,1,"Having not only a narrator that enhances the educational aspect of the show, it also stars ""super"" seven heroes based on the five physical senses in addition to the two mental senses (nonsense and common sense). Noonbory (the main character) is considered to have the ability for common sense. The settings include the four seasons that make up the Technicolor world of Toobalooba.

The cast of villains include Wangury and his band of Bullygury pirates, a lonely girl named Rosygury and an abominable snowman named Coldygury that can throw snowballs from his hat when he is angry at ""somebory"" or ""somegury.""

(Source: Wikipedia)"
Norabbits' Minutes,ノラビッツミニッツ,Movie,5,Finished Airing,"Feb 25, 2006 to Jun 29, 2007",,"Shochiku, I.Toon",add some,add some,Unknown,"Comedy, Fantasy, Kids",3 min. per ep.,PG,N/A,204,1,Norabbits' Minutes features two young rabbit brothers who live together in the forest and have endearing adventures together... though not without some absurd twists.
,のらくろ,TV,26,Finished Airing,"Oct 5, 1970 to Mar 29, 1971",Unknown,Fuji TV,add some,Eiken,Manga,Comedy,24 min. per ep.,G,N/A,310,0,"Norakuro is a black dog enlisted in the ""Mokenrentai"" (Fierce Dog Brigade), an Imperial army of dogs fighting in a war against the enemy Monkey Army.

Norakuro is a stray black-and-white dog in an army of white dogs who blundered his way while being a Private Second-Class.

This series  was relatively faithful to the comics. One big change, however, was the addition of the army nurse Miko, whom Norakuro had a crush on. For this series, Norakuro was voiced by Nobuyo Ooyama, who would later become noted for voicing Doraemon.

(Source: Cartoon Research)"
,のらくろ,OVA,1,Finished Airing,"Jan 1, 1970",,Fuji TV,add some,Eiken,Manga,Comedy,1 hr. 6 min.,G,N/A,201,0,Recap compilation of the Norakuro series.
,のらくろクン,TV,50,Finished Airing,"Oct 4, 1987 to Oct 2, 1988",Unknown,"Yomiko Advertising, Fuji TV",add some,Studio Pierrot,Manga,"Comedy, Mystery",25 min. per ep.,G,N/A,342,0,"October, 1987, Autumn. In Suganami, Tokyo, there lives the Kinoshita family whereby the father draws very little pay out of his job as an ordinary salaryman. In order to cover expenses, he decides to let out the second floor of their apartment to earn additional rental income. One day, an obstinate-looking eldery dog, accompanied by a younger boy-dog, came knocking on their doors. The eldery dog addresses himself as Norayama Kuroyoshi and introduces his grandson as Norakuro. The former wants to open a detective agency and intends to rent the unit for their office. He will be the president of the investigative bureau while Norakuro-kun will be the director. He will also recruit one of the Kinoshita's sons, Keita-kun, as his employee and their advisor will be the girl-next-door, a high school student by the name of Rika Sawaguchi. On the third day since the official opening of the office, the telephone rang, a signal of a new case. 

(Source: ANN) "
,のらみみ,TV,12,Finished Airing,"Jan 9, 2008 to Mar 26, 2008",Unknown,add some,add some,TMS Entertainment,Manga,Comedy,20 min. per ep.,G,N/A,786,1,"The anime is based on Kazuo Hara's comedy manga in which mascot characters live and work among humans. Agencies have been set up to train mascots to babysit children and then to place the mascots within families. Noramimi is one such mascot at the Hello Kids branch office #59. Unfortunately, no family wants to adopt a mascot born from a demon (oni) family, so he is stuck living at the agency.

Source: ANN, Moon Phase"
,のらみみ2,TV,13,Finished Airing,"Oct 1, 2008 to Dec 17, 2008",Unknown,add some,add some,add some,Manga,Comedy,20 min. per ep.,None,N/A,290,0,Sequel to Noramimi.
,野良スコ,ONA,Unknown,Currently Airing,"Oct 11, 2013 to ?",,add some,add some,Kachidoki Studio,Original,"Slice of Life, Comedy",2 min.,G,N/A,224,0,Follows an easygoing Scottish Fold's mundane everyday life.
,野良スコ,Movie,Unknown,Currently Airing,"Sep 17, 2016 to ?",,add some,add some,Kachidoki Studio,Original,"Slice of Life, Comedy",2 min.,G,N/A,146,0,Norasco movies screen for the 9th Down Town Taito International Comedy Film Festival. 6 episodes of Norasco were scheduled to show with 2 of them being new creations never previously shown before. The first episode is the boys playing old maid and the second episode Kotarou's sister Michelle makes an unannounced visit.
