name_english,name_japanese,show_type,episodes,status,aired,broadcast_time,producers,licensors,studios,source,genres,episode_length,rating,score_and_scorers,members,favorites,description
,ねこひきのオルオラネ,OVA,1,Finished Airing,"Nov 26, 1992",,add some,add some,J.C.Staff,Unknown,"Music, Fantasy",30 min.,G,"6.28, 467",1180,6,"During the holiday season, a young man encounters a drunken cat belonging to an old man in an alley. The old man has trained his three cats to sing.

(Source: ANN)"
,"鬼平~その男, 長谷川平蔵~",OVA,1,Finished Airing,"Feb 22, 2017",,TMS Entertainment,add some,Studio M2,Novel,"Historical, Seinen",40 min.,R+,"6.28, 285",2553,2,"The OVA will center on Heizou's character, otherwise known as ""Oni no Heizou"" (Heizou the Demon); the man feared among the thieves and rogues during the Edo Period. A young man traces the stories surrounding Heizou's early days and their ""dogs (spies)"" from his admirers Kumehachi, Hikujou and Omasa. After hearing from them, the young man heads for Heizou's private residence in Mejirodai and also learns from his wife Hisae. What is the connection between the young man's motive and Heizou?

(Source: MAL News)"
OniAi Specials,お兄ちゃんだけど愛さえあれば関係ないよねっ,Special,6,Finished Airing,"Dec 26, 2012 to May 29, 2013",,add some,Funimation,Silver Link.,Unknown,"Comedy, Ecchi",3 min. per ep.,R+,"6.28, 13009",29936,19,Short specials included in the Onii-chan Dakedo Ai sae Areba Kankeinai yo ne Blu-rays and DVDs.
,『ポケモンマスターズ』トレーナー大集結スペシャルアニメーション,ONA,1,Finished Airing,"Jun 27, 2019",,add some,add some,OLM,Game,"Action, Game, Kids, Fantasy",4 min.,PG,"6.28, 386",891,0,"Original special animated trailer made to promote the release of the game Pokémon Masters.

(Source: Bulbapedia)"
,ポッピンQ,Movie,1,Finished Airing,"Dec 23, 2016",,add some,add some,Toei Animation,Original,"Music, Fantasy",1 hr. 35 min.,PG,"6.28, 1226",9110,14,"The story begins the day before the graduation ceremony. Five middle school girls each are preoccupied with their real everyday lives. These girls meet each other in a fantasy world after being sent there through a sudden occurrence. There, they learn about the impending crisis that this world is facing. The way to avert this crisis is for the five to collaborate and bring their five hearts together as one through dance.

However, the five cannot come to love the world, and cannot tell their true feelings to one another, so their hearts are unable to unite. The time limit is fast approaching. Can the dance of the five girls save the world? And will they be able to graduate?

(Source: ANN)"
,映画プリキュアミラクルユニバース,Movie,1,Finished Airing,"Mar 16, 2019",,add some,add some,Toei Animation,Original,"Action, Magic, Fantasy, Shoujo",1 hr. 11 min.,PG,"6.28, 489",1533,1,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
,スペース ファンタジア　２００１夜物語,OVA,1,Finished Airing,"Jun 21, 1987",,add some,add some,TMS Entertainment,Manga,"Drama, Sci-Fi, Seinen, Space",57 min.,PG-13,"6.28, 884",2361,1,"Based on Yukinobu Hoshino's 1984 manga in ""Action Comics; shot in ""Super Perspective Technique"".
It is the 21st century, and two young people were chosen. Adam was sent off into a space ship and was sent off into outer space...

(Source: ANN, AniDB)"
Pictures at an Exhibition,展覧会の絵,Movie,1,Finished Airing,"Nov 11, 1966",,Mushi Production,add some,add some,Original,Comedy,32 min.,PG-13,"6.28, 825",1728,2,"A series of short animated segments, without dialog, explore major characters of modern society, such as the plastic surgeon, the fashion-obsessed woman, the rumor-monger, and others, leading to a concluding comment on the progress of civilization. 

(Source: ANN) "
Astro Boy The Brave in Space,鉄腕アトム 宇宙の勇者,Movie,1,Finished Airing,"Jul 26, 1964",,Fuji TV,add some,Mushi Production,Original,"Action, Adventure, Drama, Mecha, Sci-Fi, Shounen",1 hr. 27 min.,G,"6.28, 335",1258,1,"From the TV series of ""Astro Boy,"" three episodes were selected for theater re-edition, ""Robot Rocket"" (46th episode), ""Earth Defense Troops"" (56th episode) and ""The Last Day of Earth"" (71st episode). Of these three, ""Earth Defense Troops"" was the only one originally derived from Tezuka Osamu's story ""Number 7."" Its settings were diverted to the ""Astro Boy"" series. In this film, the whole scene of ""Earth Defense Troops"" and a part of ""The Last Day of Earth"" were reproduced in color for this theater version.

(Source: Official site)"
The Laughing Salesman,笑ゥせぇるすまんNEW,TV,12,Finished Airing,"Apr 3, 2017 to Jun 19, 2017",Mondays at 23 00 (JST),"TMS Entertainment, Nippon Columbia, Shogakukan Music & Digital Entertainment",add some,Shin-Ei Animation,Manga,"Comedy, Drama, Seinen",23 min. per ep.,PG-13,"6.28, 5109",15200,12,"Each episode follows Fukuzou Moguro, a traveling salesman, and his current customer. Moguro deals in things that give his customers their heart's desire, and once his deals are made and their unhealthy desires are satisfied, Moguro's customers are often left with terrible repercussions, especially if they break the rules of his deals..."
