name_english,name_japanese,show_type,episodes,status,aired,broadcast_time,producers,licensors,studios,source,genres,episode_length,rating,score_and_scorers,members,favorites,description
,ぼくだって、きれいにしたいんだ,OVA,1,Finished Airing,"Apr, 1995",,Studio Cab,add some,J.C.Staff,Original,Kids,15 min.,G,N/A,148,0,An educational film about the bystander effect that happens with bullying.
,ぼくの青空,OVA,1,Finished Airing,1997,,add some,add some,add some,Unknown,"Drama, Kids",26 min.,G,N/A,134,0,An educational film about child's battle with muscular dystrophy.
,ぼくの防空壕,Special,1,Finished Airing,"Aug 13, 2005",,add some,add some,Shin-Ei Animation,Unknown,"Kids, Historical, Drama",50 min.,G,N/A,438,0,"The fourth film in Shin-Ei's series of annual WWII themed anime television movies for children Sensou Douwa (war story).

(Source: AniDB)
"
,ぼくのダイエット大作戦,OVA,1,Finished Airing,2002,,Gakken,add some,add some,Unknown,"Kids, Drama",18 min.,G,N/A,135,1,An educational film about childhood obesity in Japan.
,ボクの勝ち,Music,1,Finished Airing,"Apr 1, 1994",,NHK,add some,add some,Original,"Kids, Music",2 min.,G,N/A,104,0,Music video for the song Boku no Kachi by Japanese reggae artist NAHKI that was featured on NHK's Minna no Uta program. The video was animated by Kouji Nanke.
,ぼくの目は猫の目,Music,1,Finished Airing,"Feb 4, 1992",,NHK,add some,add some,Original,"Kids, Music, Romance",2 min.,G,N/A,48,0,Music video for the song Boku no Me wa Neko no Me by Kiyoshirou Imawano that was featured on NHK's Minna no Uta program. The video was animated by Toshio Nishiuchi.
,ぼくのにっきちょう,Music,1,Finished Airing,"Jun, 1982",,NHK,add some,add some,Original,"Kids, Music",2 min.,G,N/A,36,0,Music video for the song Boku no Nikkichou by Ichiro Ogura that was featured on NHK's Minna no Uta program. The video was animated by Akira Katou.
,僕のオールディーズはオールカラー,OVA,1,Finished Airing,"Dec 10, 1987",,add some,add some,add some,Manga,"Music, Romance, Seinen",27 min.,PG,N/A,156,0,"A minimalist adaptation of Seizo Watase's manga of the same name. It contains 5 stories of slow paced vignettes of romance whose only dialogue lies within the ""oldies"" being played as background music.
"
,ぼくとディジャヴ,Music,1,Finished Airing,"Apr 6, 1993",,NHK,add some,add some,Original,"Kids, Music",2 min.,G,N/A,106,0,Music video for the song Boku to Déjà vu by Yuki Hyoudou that was featured on NHK's Minna no Uta program. The video was animated by Kouji Nanke.
,ボクとガク ～あの夏のものがたり～,OVA,1,Finished Airing,2009,,add some,add some,Toei Animation,Unknown,"Historical, Drama, Kids",42 min.,G,N/A,191,0,"An educational film about losing hope in children in Japan. In the movie's example, how it is bad it is to say another child ""doesn't stand a chance"" or ""don't think too much of them, they won't amount to anything"" because of their upbringing or background or single action they did. "
