name_english,name_japanese,show_type,episodes,status,aired,broadcast_time,producers,licensors,studios,source,genres,episode_length,rating,score_and_scorers,members,favorites,description
,鹬蚌相争,Movie,1,Finished Airing,"Feb, 1984",,Shanghai Animation Film Studio,add some,add some,Unknown,Historical,10 min.,G,"5.86, 252",561,1,"Based on a story originally told by Su Dai in feudal China, a fisherman observes as a snipe and clam struggle over food."
,百合星人ナオコサン,OVA,1,Finished Airing,"Dec 18, 2010",,add some,add some,ufotable,Manga,"Comedy, Shoujo Ai",6 min.,PG-13,"5.86, 6982",14163,9,"Naoko-san is an alien from the planet Yuri, who is plotting to conquer the Earth by yurifying it. Misuzu is a junior high girl and is always troubled by Naoko-san, who lives on the roof of her house. They hear rumors that a molester is wandering around in the area, so they decide to investigate."
Future Folktales,アサティール 未来の昔ばなし,TV,13,Finished Airing,"Apr 4, 2020 to Jun 27, 2020",Saturdays at 08 00 (JST),add some,Sentai Filmworks,Toei Animation,Original,Adventure,25 min. per ep.,PG,"5.86, 457",2581,18,"In 2050 Riyadh, elder Asma's richly captivating storytelling transports her cherished grandchildren to fabled times where they learn that modern-day dilemmas are no match for the trials, tribulations and words of wisdom passed from generation to generation through their fascinating folktales.

(Source: Sentai Filmworks)"
Ayane's High Kick,綾音ちゃんハイキック!,OVA,2,Finished Airing,"Jan 21, 1997 to Apr 25, 1997",,Nikkatsu,Central Park Media,Rikuentai,Original,"Comedy, Shounen, Sports",27 min. per ep.,PG-13,"5.86, 1959",4157,7,"Ayane is a high school student focused on one thing, becoming a pro wrestler. A trainer tricks her into becoming a Kick Boxer, the sport she hates. She keeps with it though once she finds out.

(Source: ANN)"
,빼꼼,ONA,8,Finished Airing,2007 to 2013,,add some,add some,RG Animation Studios,Original,"Super Power, Comedy, Kids",49 sec. per ep.,G,"5.86, 118",308,0,"ONAs posted on the official site of RG Studios' page and the director's youtube page that feature Backkom shorts that never made it to the main series nor the the DVD release of the main series.

This entry is composed of:
Backkom Feature Trailer - Backkom falling through the roof of CGV; the largest cinema chain in Korea, then taking a seat in the first row of the theater. (2007, 39 sec)
Backkom Filler Animation - Backkom at a library. (2008, 53 sec)
Backkom Song!! - Backkom jumping on a trampoline to a song. (2009, 30 sec)
Backkom's Friends - Backkom causing a chain reaction toppling various characters in the Backkom franchise and in Sheep in the Island. (2009, 40 sec)
Super Backkom - Backkom changing into his Super Backkom form in a portable restroom. (2009, 34 sec)
Tightly -  Once again Backkom needss to change into Super Backkom with the portable restroom. This time someone else is using it. (2009, 43 sec)
Super Backkom Technology Test Video - Super Backkom fighting a water monster and rescuing a girl who closely resembles the rescued girl in the Makera Demo. (2012, 63 sec)
Backkom Separate Garbage Animation - Backkom trying to separate his garbage. (2013, 90 sec)"
Battle Girl High School,バトルガール ハイスクール,TV,12,Finished Airing,"Jul 3, 2017 to Sep 18, 2017",Mondays at 00 30 (JST),"flying DOG, Hakuhodo DY Music & Pictures, COLOPL",Sentai Filmworks,Silver Link.,Game,"Action, Sci-Fi, School",23 min. per ep.,PG-13,"5.86, 3861",20137,53,"Based on COLOPL's school action role-playing game. Set in the year 2045. The world has been contaminated by Irousu (mysterious invaders who suddenly appeared), and humans find themselves restricted and contained. Standing boldly against these invaders are ordinary girls everywhere, without a powerful army or even weapons.

The Shinjugamine Girls Academy is a school for these ""Hoshimori"" (Star Guardians) destined to fight the Irousu. The player is assigned to this academy to train the girls and take back the contaminated Earth. And so, once again, the chimes echo through the sun-strewn schoolyard to mark the beginning of classes today...

(Source: ANN, edited)"
Bremen 4,ブレーメン４ 地獄の中の天使たち,Special,1,Finished Airing,"Aug 23, 1981",,Tezuka Productions,add some,add some,Unknown,"Kids, Adventure",1 hr. 30 min.,G,"5.86, 186",599,0,"TV anime created as a part of ""24-Hour Television"". Since 1978, Japanese TV network NTV has been doing charity event ""24-Hour Television"" every summer. Tezuka Production created anime specials for the event under the supervision of Osamu Tezuka. ""Bremen 4: Jigoku no Naka no Tenshi-tachi"" was produced for the 1981 event. Its title means ""Bremen 4: Angels in Hell"" in English.

The story is, similar to the Bremen Town Musicians fairy tale by Brothers Grimm, about four animals, Coda the cat, Alegro the dog, Largo the donkey and Minuet the chicken.

They save Rondo the alien who is on a peace mission. In return Rondo gives them a machine which can transform them into humans. Turned into their new form as humans, they go to the town, where they see the madness of war.

(Source: AniDB)"
,BTOOOM! 爆殺ダイジェスト,ONA,2,Finished Airing,"Nov 16, 2012 to Dec 19, 2012",,add some,add some,add some,Manga,Action,2 min. per ep.,R,"5.86, 1200",8770,9,"Originally streamed on the official Youtube and NicoNico channels and later included on BD/DVD Vol.5.

(Source: AniDB)"
,Carry Me Off feat. 初音ミク,Music,1,Finished Airing,"Aug 21, 2014",,Toy's Factory,add some,add some,Original,Music,3 min.,G,"5.86, 140",259,0,"MMD music video for the song Carry Me Off feat. Hatsune Miku by Hachioji-P. It was included on DVD with the release of his third studio album ""Twinkle World"" on August 27, 2014."
Midori,地下幻燈劇画 少女椿,Movie,1,Finished Airing,"May 2, 1992",,"Imagica, Mippei Eigeki Kiryuukan",add some,add some,Manga,"Drama, Historical, Horror",47 min.,R+,"5.86, 10139",22812,198,"Behind the colorful curtains and extravagant performances, there lies the dark side of a circus life, hidden away from the smiles and praises of the audience. Set in early 20th century Japan, Midori: Shoujo Tsubaki highlights the misdeeds that occur in circus camps.

Midori was an innocent young girl who enjoyed her life as an elementary student to the fullest. However, everything changed after her mother fell ill. Eventually, Midori is forced to stop going to school and, instead, sells flowers in the city. When her mother dies tragically, Midori meets a stranger who leads her towards the circus. What awaits her will change her life forever...

In a life where nothing seems to go right, will Midori lose faith and give up? Or will she manage to stay strong in hopes of a better future?"
