name_english,name_japanese,show_type,episodes,status,aired,broadcast_time,producers,licensors,studios,source,genres,episode_length,rating,score_and_scorers,members,favorites,description
,おしりたんてい,TV,13,Finished Airing,"Jul 6, 2019 to Sep 28, 2019",Saturdays at 09 00 (JST),NHK,add some,Toei Animation,Picture book,"Mystery, Comedy, Kids, Fantasy",19 min. per ep.,PG,N/A,51,0,Third season of Oshiri Tantei.
,おしりたんてい,TV,13,Finished Airing,"Apr 4, 2020 to Jun 27, 2020",Saturdays at 09 00 (JST),NHK,add some,Toei Animation,Picture book,"Comedy, Fantasy, Kids, Mystery",19 min. per ep.,PG,N/A,51,0,Fourth season of Oshiri Tantei.
,映画 おしりたんてい カレーなる じけん,Movie,1,Finished Airing,"Apr 26, 2019",,add some,add some,add some,Picture book,"Mystery, Comedy, Kids, Fantasy",29 min.,PG,N/A,79,0,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
,おしりたんてい 「みなとまちの トゥクトゥクチェイス」,ONA,1,Finished Airing,"Aug 2, 2017",,add some,add some,Toei Animation,Picture book,"Comedy, Kids, Mystery",5 min.,PG,N/A,173,0,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
,おしずかに,Movie,1,Finished Airing,1980,,add some,add some,add some,Original,Kids,4 min.,G,N/A,203,1,A short film by Okamoto Tadanari.
Oshushidayo,おしゅしだよ,ONA,10,Finished Airing,"Oct 20, 2017 to Dec 22, 2017",,Anime Beans,add some,add some,Web manga,"Comedy, Slice of Life",3 min. per ep.,G,N/A,172,1,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
,オシリスの天秤,ONA,10,Finished Airing,"Aug 1, 2015 to Sep 23, 2015",,Fuji TV,add some,add some,Original,"Drama, Supernatural, Thriller",6 min. per ep.,R,N/A,2019,8,"The protagonist is a mysterious assassin. In order to decide whether or not to carry out requests for assassination, he meets his targets to make a final judgment.

(Source: Official website)"
,オシリスの天秤　-season2-,ONA,11,Finished Airing,"Apr 22, 2016 to Jul 1, 2016",,Fuji TV,add some,add some,Original,"Drama, Supernatural, Thriller",6 min. per ep.,R,N/A,484,0,2nd Season to Osiris no Tenbin.
,おそ松くん あっぱれ！チビ太の鬼たいじザンス,Special,1,Finished Airing,"Dec 31, 1988",,Fuji TV,add some,Studio Pierrot,Manga,Comedy,50 min.,G,N/A,533,3,New Year's Eve special of Osomatsu-kun (1988).
,おそ松くん イヤミはひとり風の中,OVA,1,Finished Airing,"Aug 25, 1990",,Nippon Columbia,add some,Studio Pierrot,Manga,"Comedy, Historical",25 min.,G,N/A,546,1,VHS released by Nippon Columbia.
Mr. Osomatsu VR,おそ松さんVR,Movie,1,Finished Airing,"Jul 2, 2018",,add some,add some,add some,Manga,"Comedy, Parody, Supernatural",6 min.,PG-13,N/A,1077,3,"The first short VR work of the popular TV anime Osomatsu-san. An immersive VR experience of the everyday lives of sextuplets. The setting is the bathhouse that fans know and love. The same all-star lineup of voice actors as the TV anime talk to you, a player in the VR world. It seems that only you have the supernatural powers to grant the wishes of each of the sextuplets. What is it that the sextuplets want? And can you indeed fulfill their wishes...?

(Source: Official Site)"
