name_english,name_japanese,show_type,episodes,status,aired,broadcast_time,producers,licensors,studios,source,genres,episode_length,rating,score_and_scorers,members,favorites,description
,ちびっ子レミと名犬カピ,Movie,1,Finished Airing,"Mar 17, 1970",,add some,add some,Toei Animation,Unknown,"Slice of Life, Adventure, Drama",1 hr. 21 min.,G,"5.96, 187",700,0,"Based on Sans Famille by Hector Malot.

This is a faithful if compressed adaptation, telling the story of Remi who is sold off to Vitalis the travelling musician and his band of performing animals. It has musical numbers typical this era of Toei films, some awkward slapstic, plenty of scenes tailored to pull on the heartstrings, and very smooth animation. Overall a pleasant film that's interesting to watch for the technical aspects; but the story leaves much to be desired, being on the melodramatic-maudlin side. The later Dezaki/Sugino version is very different, with 52 episodes for the story to breathe in and far more compelling storytelling.

(Source: AniDB)"
,シンデレラガールズ劇場 5周年記念ショートアニメ,ONA,1,Finished Airing,"Nov 28, 2016",,add some,add some,Gathering,Game,Comedy,3 min.,PG-13,"5.96, 449",1655,1,This short commemorates the 5th anniversary of The iDOLM@STER Cinderella Girls game featuring the cast as they will be shown in the Cinderella Girls Gekijou anime coming out in 2017. The girls contemplate half a decade passing and worry about aging and their progress as idols.
,カクテル王子 Shaking Night!!～禁断のクインテット～,Music,1,Finished Airing,"Feb 8, 2018",,add some,add some,add some,Game,"Harem, Music",1 min.,PG-13,"5.96, 124",312,1,New animated music video for the mobile game Cocktail Prince.
Have a Nice Day,大世界,Movie,1,Finished Airing,"Jan 12, 2018",,add some,add some,add some,Original,"Psychological, Thriller",1 hr. 17 min.,R,"5.96, 119",520,0,"A hard rain is about to fall on a small town in Southern China. In a desperate attempt to find money to save his fiancée’s failed plastic surgery, Xiao Zhang, a mere driver, steals a bag containing 1 million from his boss. News of the robbery spreads fast within the town and, over the course of one night, everyone starts looking for Xiao Zhang and his money.

(Source: Metacritic)"
,永久家族,Movie,1,Finished Airing,"Apr 1, 1997",,Beyond C.,add some,Studio 4°C,Unknown,"Psychological, Comedy",28 min.,PG-13,"5.96, 3296",8136,17,"It started as a sociological experiment. Six different people were brainwashed to think that they were a family and then put in arbitrary situations to see how they would react; however, when a taping of the families conducts is sold in a desperate attempt to make a little capital, it instantly becomes a success. Now the family is a first rated show and their every move is broadcasted around the world without them knowing it. But when a clogged toilet sets off a chain of events that ultimately frees the family from the room they are confined in the broadcasters, not willing to lose their source of income, set out to hunt down and recapture every member of the Eternal family.

(Source: ANN)"
Extra,EXTRA (エクストラ),Music,1,Finished Airing,"Jan 1, 1995",,add some,add some,Studio 4°C,Unknown,"Action, Sci-Fi, Music, Dementia, Horror",3 min.,R,"5.96, 2296",3835,4,"Animation veteran and Studio 4°C collaborator Koji Morimoto teamed up with techo artist Ken Ishii for this AMV.

""EXTRA"" is a random cross talk about computer, music, images, and Internet by two authors working on their first collaboration in techno music and animation. This short animation which is stored on CD-ROM and immediately shakes the viewer with question as to what the word of the title, ""EXTRA,"" means.

(Source: AniDB)"
,ジャックと豆の木,OVA,1,Finished Airing,1989,,add some,add some,Studio 4°C,Unknown,"Adventure, Kids, Fantasy",13 min.,PG,"5.96, 481",1039,0,"A little-known adaptation of ""Jack and the Beanstalk,"" directed by Morimoto Kouji and produced at Studio 4°C in 1989 for the collection ""Anime Video Art Collection,"" a series of animated shorts based on stories for children. Released only on VHS.

(Source: AniDB)"
,海底3万マイル,Movie,1,Finished Airing,"Jul 19, 1970",,add some,add some,Toei Animation,Unknown,"Adventure, Fantasy",1 hr.,G,"5.96, 143",473,1,"Returning home from an ocean trip, young Isamu meets the beautiful sea-dweller Angel on a volcanic island. Attacked by a fiery dragon, Isamu and Angel escape on the observation boat See Through, and Angel invites Isamu to see her undersea kingdom of Atlas.

(Source: AniDB)"
,傾福さん,ONA,1,Finished Airing,"Dec 28, 2017",,add some,add some,add some,Original,Fantasy,5 min.,G,"5.96, 1234",2351,3,"Incorporating the earlier two parts and adding additional footage as an epilogue, Keifuku-san features the adventures of a young girl in a railway conductor uniform and a floating manta ray as they explore an otherworldly space. The video features direction by Tatsuki, animation by Hirayasu, and art by Yukko (all members of animation studio irodori), as well as the voice talents of Yumiri Hanamori. 

(Source: Crunchyroll)"
,マリー＆ガリー ver.2.0,TV,30,Finished Airing,"Mar 20, 2010 to Mar 22, 2011",Unknown,NHK,add some,Toei Animation,Original,Comedy,5 min. per ep.,PG-13,"5.96, 162",820,0,The second season of Marie & Gali.
