name_english,name_japanese,show_type,episodes,status,aired,broadcast_time,producers,licensors,studios,source,genres,episode_length,rating,score_and_scorers,members,favorites,description
Kayoe! Chugaku,かよえ！チュー学,TV,425,Finished Airing,"Jun 6, 2011 to Mar 28, 2014",Not scheduled once per week,add some,add some,DLE,Original,"Comedy, School",1 min. per ep.,None,N/A,365,1,Wada transfers from the Kansai region to the Toukai region in middle school. The story follows his new set of friends as their fivesome enjoy their everyday lives. All the characters' are names are based on Chunichi Dragons baseball team which is located in the Toukai region.
,かよこ桜の咲く日,OVA,1,Finished Airing,Not available,,add some,add some,add some,Other,"Drama, Historical",1 hr.,G,N/A,85,0,"An anime about the real story of 15 year old Kayoko Hayashi. After the Nagasaki atomic bomb, Kayoko's body was found 21 days later crushed under the Shiroyama school building where she had been volunteering for the war effort. 50 cherry tree saplings were donated by her mother (6 of which have survived today) to the Shiroyama elementary school as a memorial to her daughter and to the other children who lost their lives so that people many pray for peace."
,風ぐるま,Music,1,Finished Airing,"Aug 1, 1984",,NHK,add some,add some,Original,"Music, Kids",2 min.,G,N/A,118,0,A woman savors the scents of the wind from the past.
,かざぐるま,Music,1,Finished Airing,"Jun 1, 1996",,NHK,add some,add some,Original,"Music, Kids",2 min.,G,N/A,37,0,Music video for the song Kazaguruma by Miyuki Nagai that was featured on NHK's Minna no Uta program. The video was animated by Akira Maeda.
,カザミ鳥,Music,1,Finished Airing,"Jul 1, 2015",,add some,add some,add some,Original,Music,4 min.,G,N/A,102,0,An original song by Mah featuring the Vocaloid VY1 V4.
,風色のとんぼ,Music,1,Finished Airing,"Oct 1, 1996",,NHK,add some,add some,Original,"Kids, Music",2 min.,G,N/A,85,0,Music video for the song Kaze Iro no Tonbo by Chie Hyou that was featured on NHK's Minna no Uta program. The video was animated by Kouji Nanke.
,風のオルガン,Music,1,Finished Airing,"Feb 3, 1987",,NHK,add some,add some,Original,"Kids, Music",2 min.,G,N/A,64,0,"Music video for the song Kaze no Organ by Junko Kudou that was featured on NHK's Minna no Uta program. The video was animated by Tsutomu Shibayama.
"
Zephyr,風の精,Movie,1,Finished Airing,2009,,add some,add some,add some,Original,Dementia,6 min.,PG-13,N/A,77,0,"The story of a mother, her baby, and a wind spirit, and their journey in the sky.

(Source: Official Website)"
,風の旅人,OVA,1,Finished Airing,2003,,add some,add some,add some,Unknown,"Drama, Kids",30 min.,G,N/A,113,0,An educational film about wheel-chair bound people in Japan.
,風のように,Movie,1,Finished Airing,"Jul 9, 2016",,Grooove,add some,Ekura Animal,Manga,"Drama, Slice of Life",40 min.,PG,N/A,1218,0,"Sanpei is a boy beekeeper and the sole survivor of an accident that killed his entire family. Sanpei meets Chiyo, a girl who gets stung by a bee, and starts a new life in her village. Eventually, Sanpei cultivates the land that the villagers had abandoned, and then disappears. In the land now filled with flowers, Chiyo waits, believing Sanpei will return. 

(Source: ANN)"
,風と共に,Music,1,Finished Airing,"Jun 1, 2017",,NHK,add some,add some,Original,"Kids, Music, Slice of Life",2 min.,G,N/A,102,0,"Music video for the song Kaze to Tomoni by Japanese rock band Elephant Kashimashi that was featured on NHK's Minna no Uta program. The song was released as the title track for the band's 49th single on July 26, 2017, which included a DVD with the music video. It was animated by Kunio Katou."
,風は吹いてるか？,Music,1,Finished Airing,"May 15, 2020",,Sony Music Entertainment,add some,Maxilla,Original,Music,2 min.,G,N/A,295,0,Music video included with the sixth single of the digital idol group 22/7 (Kaze wa Fuiteru ka?).
,家族デッキ,Movie,1,Finished Airing,2007,,add some,add some,add some,Original,Slice of Life,21 min.,None,N/A,70,0,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
,世界名作劇場・完結版 家族ロビンソン漂流記 ふしぎな島のフローネ,Special,2,Finished Airing,2001,,add some,add some,Nippon Animation,Novel,"Slice of Life, Adventure, Historical, Drama",45 min. per ep.,G,N/A,250,0,A summary of the Kazoku Robinson Hyouryuuki: Fushigi na Shima no Flone full series aired as a TV specials.
,KAZU&YASU ヒーロー誕生,Movie,1,Finished Airing,"Jul 22, 1995",,Triangle Staff,add some,add some,Unknown,"Drama, Sports",1 hr. 32 min.,G,N/A,241,0,Based on the real life events. Biography animation depicting the football careers of Kazuyoshi Miura and his elder brother Yasutoshi.
,けだまのゴンじろー,TV,51,Finished Airing,"Apr 6, 2019 to Mar 28, 2020",Saturdays at 10 00 (JST),add some,add some,"OLM, Wit Studio",Other,"Action, Adventure, Comedy, Fantasy, Shounen",24 min. per ep.,G,N/A,371,0,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Keep Calm and Carry On,KEEP CALM AND CARRY ON,ONA,1,Finished Airing,"Oct 14, 2014",,add some,add some,add some,Other,"Fantasy, Music",1 min.,G,N/A,116,0,"Space Shower TV Station ID directed by Toshiaki Hanzaki, with music by Predawn (Miwako Shimizu). The video features the main cast from The Wonderful Wizard of Oz."
