name_english,name_japanese,show_type,episodes,status,aired,broadcast_time,producers,licensors,studios,source,genres,episode_length,rating,score_and_scorers,members,favorites,description
,黒の栖 -Chronus-,Movie,1,Finished Airing,"Mar 1, 2014",,Exa International,add some,Studio 4°C,Original,Psychological,25 min.,PG-13,"6.85, 8304",16561,9,"For as long as he can remember, Makoto Nakazono has had the power to see grim reapers watching people shortly before their deaths and escorting their souls to heaven. He realized long ago that nobody would believe him if he talked about his ability. Since there is nothing he can do to alter people's fates, he tries his best to pretend that he does not see anything out of the ordinary.

This all changes when a reaper at Makoto's high school speaks to him and questions him why he never interferes. After learning that the reaper is there for his best friend, Hazuki Horiuchi, Makoto starts to wonder if he can defer her grim fate, even if only for a little while.

[Written by MAL Rewrite]
"
,巨人の星,TV,182,Finished Airing,"Mar 30, 1968 to Sep 18, 1971",Unknown,"Tokyo Movie Shinsha, Yomiuri Telecasting",add some,TMS Entertainment,Manga,"Drama, Sports",25 min. per ep.,G,"6.85, 229",1768,6,"The story is about Hyuma Hoshi, a promising young baseball pitcher who dreams of becoming a top star like his father Ittetsu Hoshi in the professional Japanese league. His father was once a 3rd baseman until he was injured in World War II and was forced to retire. The boy would join the ever popular Giants team, and soon he realized the difficulty of managing the high expectations. From the grueling training to battling the rival Mitsuru Hanagata on the Hanshin Tigers, he would have to take out his best pitching magic to step up to the challenge.

(Source: Wikipedia)"
,灵域 第二季,ONA,10,Finished Airing,"Feb 18, 2016 to Apr 21, 2016",,iQIYI,add some,Haoliners Animation League,Novel,Fantasy,15 min. per ep.,PG-13,"6.85, 682",1653,2,"Qin Lie have to guard Tang Siqi, regardless of the differences between them, and Liang Shanyan, while the strange powers coursing through his veins are beginning to slowly awaken. When Qin Lie vows to protect the instrument of sovereign, at the same time, seven Evil Clan's Lords are appearing on the field. While the most powerful secret weapon is emerging from the altar, the enemy intend to seize Qin Lie's life..."
,ロストワンの号哭を歌ってみた,Music,1,Finished Airing,"Aug 12, 2019",,add some,add some,add some,Original,Music,3 min.,PG-13,"6.85, 280",541,1,Music Video of the original Vocaloid song of Neru that is performed by the project band Afterglow as a collaboration between Bang Dream! and Hatsune Miku.
Lupin III Goodbye Lady Liberty,ルパン三世『バイバイ・リバティー危機一発！,Special,1,Finished Airing,"Apr 1, 1989",,"VAP, Tokyo Movie Shinsha",Discotek Media,add some,Unknown,"Action, Adventure, Mystery, Comedy, Seinen",1 hr. 37 min.,R+,"6.85, 2572",5700,4,"In this adventure, Lupin III tries to erase the files about him in the world police network. He finds out about the Ultravirus, a computer virus that controls all others and its location is only known by a little kid. Meanwhile, he steals the Statue of Liberty to look for a diamond the size of a football that is said to be hidden somewhere in it. Apparently, the diamond and the ultravirus are somehow related... 

(Source: ANN)"
,なんでここに先生が!?,Special,1,Finished Airing,"Dec 11, 2019",,add some,Sentai Filmworks,Tear Studio,Manga,"Comedy, Ecchi, School, Seinen",12 min.,R+,"6.85, 12940",27521,42,Unaired episode included with the Blu-ray box set.
Animal Lane,アニマル横町,TV,51,Finished Airing,"Oct 4, 2005 to Sep 26, 2006",Tuesdays at 18 00 (JST),"TV Tokyo, Geneon Universal Entertainment, Dentsu, TV Tokyo Music, Dentsu Tec",add some,Gallop,Manga,"Adventure, Comedy, Fantasy, Shoujo",23 min. per ep.,G,"6.84, 459",2159,9,"On the first day her family moved to their new house, 5-year-old Ami-chan made friends with three talking animals who came out of a door in her bedroom floor, which she finds out leads to Animal Yokocho, another world. The three are Issa, an overly innocent, soft-spoken panda, Kenta, a highly strung, red-scarf-loving bear who puts on an almost constant tough-guy act, and Iyo, a rabbit who usually holds her own well-being and enjoyment over the happiness (and safety) of her friends. Even at only 5 years old, Ami-chan is easily the most rational of the group, and she's a little wary at first, but she eventually comes around and starts spending her free time with them. A typical day involves Ami-chan and the three doing different things to pass the time, often playing a seemingly innocent game, but in AniYoko style. Unfortunately for Ami-chan, the AniYoko version usually turns out to be drastically different, much less logical, and usually more dangerous than the ordinary version.

(Source: ANN)"
,ブラック・ラグーン オマケ,Special,7,Finished Airing,"Dec 23, 2009 to Mar 25, 2010",,Geneon Universal Entertainment,add some,Madhouse,Manga,Comedy,3 min. per ep.,PG-13,"6.84, 25864",50348,79,"Special omake episodes from the Blu-Ray releases, showing the heroines and foes in funny, uncommon situations."
,BUZZER BEATER 第2期,TV,13,Finished Airing,"Jul 4, 2007 to Sep 26, 2007",Wednesdays at 00 56 (JST),add some,add some,TMS Entertainment,Web manga,"Action, Sci-Fi, Sports, Shounen",25 min. per ep.,PG-13,"6.84, 3346",7222,5,"After being drafted into the Earth Team, a basketball team comprised solely of humans, street-punk-turned-pro Hideyoshi couldn't be more cocky. The team is still up against the Gorons, a physically superior race of aliens who have dominated the game for some time. New challenges and problems stand in their way. Hideyoshi is unhappy with the team and the Gorons have new tricks up their sleeves.

(Source: ANN)"
Arjuna,地球少女アルジュナ,TV,13,Finished Airing,"Jan 9, 2001 to Mar 27, 2001",Tuesdays at 18 00 (JST),"Bandai Visual, Sotsu",Bandai Entertainment,Satelight,Original,"Adventure, Drama, Magic, Sci-Fi",26 min. per ep.,PG-13,"6.84, 9180",25788,176,"Juna Ariyoshi is an ordinary Japanese schoolgirl, who possesses a childlike curiosity and a strong admiration toward nature. One day, while on a trip with her boyfriend, Tokio Oshima, Juna dies from a motorcycle accident. However, she is given a chance to live by an individual named Chris Hawken. He offers her powers that make her the avatar of time; in exchange, she must fight to protect the Earth from evil forces called raaja, which are born out of the toxic pollution human beings have caused. 

She soon discovers that this is no easy task. While trying to master her newfound powers, she must also seek answers to deep questions about the ways science and technology have taken away humans' primal and instinctive connections with nature. With the help of Chris, his assistant Cindy Klein, and a powerful international organization named SEED, it is up to Juna to overcome her fears and find a way to stop the raaja from destroying everyone and everything she cares for.

[Written by MAL Rewrite]
"
,厨病激発ボーイ,Special,1,Finished Airing,"Mar 25, 2020",,"Lantis, Ai Addiction",Sentai Filmworks,Studio Deen,Novel,"Slice of Life, Comedy, School",24 min.,PG-13,"6.84, 1158",3717,6,Unaired episode 12 included with volume 4 of the BD/DVD release.
,映画 クレヨンしんちゃん 嵐を呼ぶ黄金のスパイ大作戦,Movie,1,Finished Airing,"Apr 16, 2011",,"Futabasha, Imagine",add some,Shin-Ei Animation,Manga,"Comedy, Seinen",1 hr. 48 min.,G,"6.84, 1118",2270,1,"Comical action spy film including an indecent material (flatus) and a story of a girl who had obeyed her parents, but becomes self-aware. A mystery spy girl Lemon Sunomono suddenly appears in front of Shinnosuke, and she calls herself an emissary of Action Kamen. She had trained as a spy by her parents in the Sukashipestan Republic, and works for the Queens. Under her guidance, Shinnosuke decides to be a spy to fight for justice, and receives spy training. Under the instruction of Action Kamen, Lemon and Shinnosuke perform a mission to creep into the laboratory in the Hedelna Kingdom and recapture a capsule from an evil professor, but Lemon finds the real purpose of the Queens, and they fight to foil the plot of the Queens. 

(Source: Manabu Tsuribe)"
,82お正月だよ！ドラえもん・怪物くん・忍者ハットリくん,Special,1,Finished Airing,"Jan 3, 1982",,Asatsu DK,add some,add some,Unknown,"Comedy, Kids, Sci-Fi, Shounen",23 min.,PG,"6.84, 640",1522,4,A crossover of Doraemon and Ninja Hattori-kun.
Dragon Ball Z Broly – Second Coming,ドラゴンボールZ 危険なふたり!超戦士はねむれない,Movie,1,Finished Airing,"Mar 12, 1994",,add some,Funimation,Toei Animation,Manga,"Action, Adventure, Comedy, Demons, Fantasy, Martial Arts, Shounen, Super Power",50 min.,PG-13,"6.84, 60128",96191,41,"After his loss to Goku, Broly crash lands and hibernates on earth. After some time, he is awakened by Trunks and Goten, who Broly believes is Kakarott, and goes on a rampage to kill both of them. At the same time, Gohan is on his way to challenge the Legendary Super Saiyan alone."
,異次元の世界エルハザード,TV,13,Finished Airing,"Jan 8, 1998 to Mar 26, 1998",Thursdays at 01 15 (JST),Pioneer LDC,Geneon Entertainment USA,AIC,Original,"Adventure, Comedy, Fantasy",25 min. per ep.,PG-13,"6.84, 4207",9499,9,"Miz plans to retire as a Great Priestess of Water to married life with her darling Fujisawa and as replacement the young Qawoor Towles arrives to Floristica. Jinnai sees Qawoor's initiation ceremony as a chance to infiltrate Makoto's laboratory but accidentally activates a mysterious thingy that sends them all through the dimensions to a grey industrial city protected by a huge castle in an alternative world.

(Source: ANN)"
Freezing Vibration,フリージング ヴァイブレーション,TV,12,Finished Airing,"Oct 4, 2013 to Dec 20, 2013",Fridays at 21 30 (JST),"Media Factory, Eswood",Funimation,A.C.G.T.,Manga,"Action, Military, Sci-Fi, Harem, Drama, Romance, Ecchi, Martial Arts, Seinen",23 min. per ep.,R+,"6.84, 70145",133746,204,"Ever since the 10th NOVA clash, the Chevalier had concluded that the NOVA have been appearing at a steadier rate and they are losing more Pandoras than they can produce. Their solution is the E-Pandora Project which involves normal humans being given the power to become Pandoras. Inviting Pandora from around the world to their Alaskan base witness the unveiling of their new project, Satellizer, Kazuya and Rana are among those who have been summoned. However, as time goes the E-Pandora Project starts to become fishier and the Pandoras start to grow more and more concerned..."
,フルメタル・パニック！ボーイ・ミーツ・ガール,Movie,1,Finished Airing,"Nov 25, 2017",,add some,add some,Gonzo,Light novel,"Action, Comedy, Mecha, Military, Sci-Fi",2 hr.,R,"6.84, 513",4755,4,"Shikidouji, the illustrator of Shoji Gatoh's Full Metal Panic! light novel series, revealed that production has been green-lit on a ""director's cut"" version of the first Full Metal Panic!! television anime series from 2002. The director's cut will consist of three films. The announcement does not state if the film trilogy will add new footage. 

(Source: ANN)"
Galaxy Express 999 Eternal Traveller Emeraldas,銀河鉄道９９９　永遠の旅人エメラルダス,Special,1,Finished Airing,"Apr 3, 1980",,add some,add some,add some,Manga,"Sci-Fi, Space",48 min.,PG-13,"6.84, 406",1425,1,A remake of episode 22 of the TV version.
