name_english,name_japanese,show_type,episodes,status,aired,broadcast_time,producers,licensors,studios,source,genres,episode_length,rating,score_and_scorers,members,favorites,description
RIN-NE,境界のRINNE,TV,25,Finished Airing,"Apr 4, 2015 to Sep 19, 2015",Saturdays at 17 30 (JST),"Shogakukan-Shueisha Productions, NHK, Shogakukan",Sentai Filmworks,Brain's Base,Manga,"Comedy, Supernatural, Romance, School, Shounen",24 min. per ep.,PG-13,"6.90, 24931",74726,133,"A very strange thing happened to Mamiya Sakura as a child: She disappeared in the woods behind her grandmother's house. Of course, Sakura doesn't quite recall what happened next, but she's been seeing dead people ever since—ghosts at home, ghosts at school, and even ghosts on the street.

Now that she's in high school, another strange thing has happened in her life. A desk next to her that's sat empty all year is suddenly filled by an oddly-dressed boy named Rokudou Rinne. Rinne seems to be capable of seeing the same things Sakura does, and sometimes, other people can't even see him. What sort of secret is Rinne-kun hiding, and how is he connected to Sakura's strange power? In Kyoukai no Rinne, another world exists alongside the one we live in. Thanks to Rinne, Mamiya Sakura will get to know this world and the wacky characters that inhabit it."
,撸时代第2季,ONA,13,Finished Airing,"Nov 26, 2014 to Dec 12, 2015",,"Penta Show Studios, Colored-Pencil Animation Design",add some,add some,Original,"Action, Adventure, Comedy, Game, Parody",12 min. per ep.,PG-13,"6.90, 672",2030,5,Zhiquiang is a young boy who loves playing League of Legends with his friends. The series follows his crazy adventures.
Myriad Colors Phantom World,無彩限のファントム・ワールド,TV,13,Finished Airing,"Jan 7, 2016 to Mar 31, 2016",Thursdays at 00 00 (JST),"Lantis, Pony Canyon, Asahi Broadcasting","Funimation, Crunchyroll",Kyoto Animation,Light novel,"Action, Comedy, Fantasy, Slice of Life, Supernatural",24 min. per ep.,PG-13,"6.90, 165747",369319,1059,"Phantoms: supernatural entities such as ghosts or youkai that, until recently, were thought to be superstition. However, when a virus that infects the brain spreads throughout society, people's perception of the world changes as the mythical beings are revealed to have been living alongside humanity the entire time. This virus has also affected those of the next generation significantly, allowing them to develop special abilities that they can use to fight against dangerous phantoms.

Haruhiko Ichijou and Mai Kawakami are two of those that were granted such power as Haruhiko wields the ability to summon and seal phantoms through drawings while Mai imbues the power of the elements into martial arts. Together, along with the friendly phantom Ruru, they form Team E of Hosea Academy which is dedicated to dealing with these often mischievous beings. In a world where the real and surreal intertwine, Musaigen no Phantom World follows the adventures of a group of friends as they handle the everyday troubles caused by phantoms.

[Written by MAL Rewrite]"
Invincible Superman Zanbot 3,無敵超人サンボット３,TV,23,Finished Airing,"Oct 8, 1977 to Mar 25, 1978",Unknown,"Sotsu, Nagoya Broadcasting Network",add some,Sunrise,Original,"Action, Mecha, Drama, Sci-Fi, Shounen",24 min. per ep.,PG-13,"6.90, 931",3312,14,"There once existed a planet named Beal, until it was wiped out by the mysterious entity known as Gaizok. The few remaining survivors escaped to Earth and split into three families, named Jin, Kamie, and Kamikita respectively. While attempting to start a new life, the collectively known ""Jin Family"" prepared for the inevitable Gaizok invasion on Earth and its giant mechanical beasts known as ""Mecha Boosts"". In order to defend their new home, they have built three vehicles which when combined form the mighty Zambot 3. The Jin Family must not only defend against Gaizok attacks, but also harsh criticisms from the very people they protect, who blame the Jin Family for the invasion in the first place.

(Source: AniDB)"
Naruto the Movie 3 Guardians of the Crescent Moon Kingdom,劇場版 NARUTO -ナルト- 大興奮!みかづき島のアニマル騒動だってばよ,Movie,1,Finished Airing,"Aug 5, 2006",,add some,Viz Media,Studio Pierrot,Manga,"Action, Adventure",1 hr. 34 min.,PG-13,"6.90, 86636",145589,166,"Naruto, Kakashi, Sakura, and Lee are sent to protect a prince during his trip around the world and see that he returns safely to his home in the Moon Country. The Moon Country happens to be really rich and as such the Prince tends to buy anything his heart desires, during his travels the Prince would come across a circus group that features a rare Sabre-toothed tiger that he just had to have. So he purchased the entire group. Suddenly a mission to protect just the spoiled prince that hardly listened to anything said, turns in to a mission to look after animals and a prince that doesn't listen to what they say, and in the end somehow get them all back safely to their home country. All the while there are three mysterious Ninja wielding some frightening jutsu waiting for them. Why are they attacking them? What do they want with Team Kakashi!?!

(Source: NarutoFan)"
,オーバーマン キングゲイナー,TV,26,Finished Airing,"Sep 7, 2002 to Mar 22, 2003",Unknown,WOWOW,"Bandai Entertainment, Sentai Filmworks",Sunrise,Original,"Action, Adventure, Mecha, Sci-Fi, Shounen",25 min. per ep.,PG-13,"6.90, 2840",9928,28,"Sometime in the distant future, mankind is forced to live in domed cities while the rest of the world is left to recover from years of environmental hardships. In the Siberian Dome-polis, professional gamer Gainer Sanga and mercenary Gain Bijou commandeer an Overman and lead a mass exodus out of the city.

(Source: ANN)"
,PIKMIN Short Movies (ピクミン　ショートムービー),Movie,3,Finished Airing,"Oct 25, 2014",,Nintendo,add some,Dynamo Pictures,Game,"Kids, Fantasy",7 min. per ep.,G,"6.90, 629",1193,7,"Three short stories from the Nintendo Pikmin game series.

The short 3D animated film is a project that Shigeru Miyamoto, a Japanese video game designer, created to explore the characters in a way his games could not."
Magic Knight Rayearth OVA,レイアース,OVA,3,Finished Airing,"Jul 25, 1997 to Nov 24, 1997",,"Polygram Japan, Kodansha, TMS-Kyokuchi",Manga Entertainment,TMS Entertainment,Manga,"Action, Adventure, Fantasy",45 min. per ep.,PG-13,"6.90, 6056",12966,33,"The Earth lies darkened and deserted. Despite the best efforts of the film's heroine, Hikaru, the evil-filled castle of Cephiro has taken over the world and stands in the center of a lifeless Tokyo. Before the ice-witch Alcyone can take her revenge on Hikaru, she is rescued by Lantis, a young man who seals her into a magical maze where she is challenged to prove her powers while her friends are hunted down by Cephiro's warlocks. 

Fleeing through the silent city, Umi and Fuu must seek out the sleeping Mashin; godlike creatures that will fuse with them to form giant warriors of awesome destructive power. But the Magic Knights are afraid, untrained and alone... will even the Mashin be enough to save them from the evil acts of Cephiro?

(Source: AniDB)"
,灼眼のシャナたん,Special,4,Finished Airing,"Oct 23, 2009 to Sep 29, 2010",,add some,Funimation,J.C.Staff,Light novel,"Comedy, Parody",7 min. per ep.,PG-13,"6.90, 9962",22149,9,"Shana-tan specials bundled with the Shakugan no Shana S Blu-ray and DVD.

Episodes
#1: Shakugan no Shana-tan G
#2: Shakugan no Shana-tan 2dos
#3: Shakugan no Shana-tan 3tri
#4: Shakugan no Shana-tan FRONTIER"
,疾風！ アイアンリーガー,TV,52,Finished Airing,"Apr 6, 1993 to Mar 29, 1994",Tuesdays at 18 00 (JST),"TV Tokyo, Sotsu",add some,Sunrise,Original,"Mecha, Sci-Fi, Shounen, Sports",24 min. per ep.,PG-13,"6.90, 221",943,14,"The Iron League: a place where teams of robots, under individual ""owners"", play various sports and duke it out in tournaments. Mach Windy is a member of Dark Prince, a team that doesn't play fair and fights dirty to win. Unsatisfied with the actions of his teammates, he defects against the will of Dark Prince's nefarious owner and joins Silver Prince: the weakest team in the league. Alongside faithful companions such as Magnum Ace and Bull Armor, Mach Windy and Silver Prince will battle against Dark Prince in games of soccer and baseball, and aim for the top!

(Source: Animeplanet)"
