name_english,name_japanese,show_type,episodes,status,aired,broadcast_time,producers,licensors,studios,source,genres,episode_length,rating,score_and_scorers,members,favorites,description
,ガッチャマン クラウズ『Embrace』,Special,1,Finished Airing,"Jan 22, 2014",,VAP,add some,Tatsunoko Production,Unknown,"Adventure, Sci-Fi",23 min.,PG-13,"7.40, 7326",15371,11,Director's cut of episode 12 included with the BD/DVD box release. Contains about 15 minutes of new content. 
Handa-kun,はんだくん,TV,12,Finished Airing,"Jul 8, 2016 to Sep 23, 2016",Fridays at 01 58 (JST),"Square Enix, Lantis, TBS, DAX Production, Memory-Tech, TC Entertainment, Docomo Anime Store, NichiNare",Funimation,Diomedea,Manga,"Slice of Life, Comedy, Shounen",24 min. per ep.,PG-13,"7.40, 81314",185034,590,"Hated by everyone around him, Sei Handa goes about his high school life regarded as an outcast—or at least that's what he believes. In reality, Sei is the most popular student on campus, revered by all for his incomparable calligraphy skills, good looks, and cool personality. However, due an endless series of misunderstandings, Handa perceives the worship he receives from his legions of fans as bullying, leading the school's idol to shut himself off from the rest of his classmates.

But distancing himself from his peers doesn't deter them from adoring him; in fact, his attempts at drawing attention away from himself often end up unintentionally converting even the most skeptical of students into believers. Fashion models, shut-in delinquents, obsessive fangirls, and more—none can stand against the brilliance that is Sei Handa.

[Written by MAL Rewrite]"
Fist of the North Star The Legend of Toki,真救世主伝説 北斗の拳 トキ伝,OVA,1,Finished Airing,"Mar 26, 2008",,"TMS Entertainment, North Stars Pictures",add some,APPP,Unknown,"Action, Martial Arts",57 min.,R,"7.40, 2855",6583,8,"The fourth part of the new Hokuto no Ken pentalogy (3 movies, 2 OVAs). "
,ほのぼのログ,TV,10,Finished Airing,"Jun 7, 2016 to Jun 18, 2016",Not scheduled once per week,NHK,add some,Fanworks,Picture book,"Romance, Slice of Life",2 min. per ep.,G,"7.40, 21970",49723,241,"Some of us are fortunate enough to have a partner to confide in on our bad days. In even the most devastating times, we can depend on our comrades for support. Others are incredibly lucky to have a special someone that they can just randomly embrace. No matter the situation, there always tends to be a close ally to help us get by.

Honobono Log showcases the best and worst of couples and families, enticing romantic-comedy lovers with various relatable situations.

[Written by MAL Rewrite]"
Oblivion Island Haruka and the Magic Mirror,ホッタラケの島　～遥と魔法の鏡～,Movie,1,Finished Airing,"Aug 22, 2009",,"Dentsu, Pony Canyon, Fuji TV, Toho",Funimation,"Production I.G, Polygon Pictures",Original,Fantasy,1 hr. 38 min.,G,"7.40, 3790",8432,15,"Your favourite teddy bear. That model kit that took so long to complete. The picture book you used to read over and over again. The shining stone you found that day in the park. Where do all your childhood's treasures go when you grow up? In this story, we meet fantastic creatures that gather all these little objects that fall into oblivion as they are forgotten by their owners when they step into adulthood. These creatures sneak into our world from a different dimension, and unseen by humans, they take all the ditched and forgotten ""treasures"" into their world. Here, they use their booty to build their own city, a fairy tale-like place called... Oblivion Island!

(Source: Production I.G)"
A Sister's All You Need,妹さえいればいい。,TV,12,Finished Airing,"Oct 8, 2017 to Dec 24, 2017",Sundays at 22 30 (JST),"Bandai Visual, Lantis, Shochiku, Bushiroad, Hakuhodo DY Music & Pictures, BS11, Shogakukan",Funimation,Silver Link.,Light novel,"Comedy, Romance",23 min. per ep.,R+,"7.40, 95189",211566,1305,"Itsuki Hashima is a light novelist obsessed with little sisters, strictly focusing on them when he writes his stories. Despite his personality, he is surrounded by a tight circle of friends: Nayuta Kani, a genius yet perverted novelist who is in love with him; Haruto Fuwa, a fellow male author whose work has seen considerable success; Miyako Shirakawa, a good friend that he met in college; and Chihiro, his perfect younger step-brother who takes care of the housework and cooking.

Together, they play strange games, go on spontaneous journeys, crack silly jokes, and celebrate each other's successes. However, each individual must also deal with their own issues, whether it is struggling to meet a deadline or coming to terms with traumatic events buried in their past.

[Written by MAL Rewrite]"
,快感 フレーズ,TV,44,Finished Airing,"Apr 20, 1999 to Mar 25, 2000",Unknown,"TV Tokyo, Shogakukan-Shueisha Productions",add some,Studio Hibari,Manga,"Drama, Music, Romance, Shoujo",24 min. per ep.,PG-13,"7.40, 3189",11052,118,"After the break up of their old band, guitarist Yuki & drummer Santa decide to form a new one. They recruit bass player Towa, young guitarist Atsuro, and after much persuasion, vocalist Sakuya. Together they form Lucifer and they struggle to make it in the music business, and also to stay together. As well, they have to deal with personal issues, such as parental objections, and watching their old bands succeed ahead of them. Sakuya is the most troubled band member, as he has to deal with his tragic past, and his relationship with teenaged lyricist Aine.
"
Kamichu!,かみちゅ!,TV,12,Finished Airing,"Jun 29, 2005 to Sep 27, 2005",Unknown,Aniplex,"Funimation, Geneon Entertainment USA",Brain's Base,Original,"Comedy, Drama, Slice of Life, Supernatural",26 min. per ep.,G,"7.40, 14639",49447,229,"Yurie Hitotsubashi was just an average middle school student living in the city of Onomichi on Japan's inland sea in the easygoing times of the 1980s. She spent her days worrying about exams and trying to get Kenji, the clueless boy she likes, to notice her. Then during lunch one day she suddenly announces to her friend Mitsue that the night before she had become a goddess. Their classmate Matsuri quickly latches on to Yurie's newfound divinity as a way to promote her family's bankrupt Shinto shrine. She hopes that replacing their hapless local god, Yashima-sama, with Yurie will make the shrine more popular (and profitable). Now, with Matsuri as her manager, Yurie has to grant wishes, cure curses, meet aliens, and attend god conventions. All the while attending school and working-up the courage to confess to Kenji.

The DVD/BD box set includes the Kamichu! Specials episodes. For a complete list of episodes and the order they're included in the box set, see the More Info tab."
,人形草紙あやつり左近,TV,26,Finished Airing,"Oct 8, 1999 to Mar 31, 2000",Tuesdays at 18 30 (JST),WOWOW,add some,TMS Entertainment,Manga,"Mystery, Horror, Thriller, Shounen",25 min. per ep.,R,"7.40, 2459",9408,52,"The dark-haired bishounen is Sakon Tachibana, a puppeteer, and the other is Ukon, his favorite puppet, and best friend. Sakon is the (only) grandson of Saemon Tachibana, a national treasure of Japan famous for his manipulation of Bunraku puppets. Ukon is a child doll puppet made in the early Meiji era by the famous female dollmaker Unosuke. Together they run into murders and solve them.

(Source: AnimeNfo)"
,家庭教師ヒットマンREBORN! ミスターリボックのちゃおちゃおインタビュ,Special,3,Finished Airing,"Apr 7, 2010 to Jun 2, 2010",,add some,add some,Artland,Unknown,Comedy,3 min. per ep.,G,"7.40, 6677",15443,67,"KHR: Mr. Rebokku no Ciao Ciao Interview is set of 3 DVD specials in which, Reborn, dressed as host interviews various characters selected by a wheel.

Episode #1
Features Reborn as Host, and Tsunayoshi, Gokudera and Xanxus as guests.

Episode #2
Features Reborn as Host, and Hibari, Belphegor and Dino as guests.

Episode #3
Features Reborn as Host, and, differently than before, four characters which are Byakuran, Mukuro, Squalo and Yamamoto.

[Written by Katekyo Hitman Reborn! FC] "
